{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.220, std: 0.163, tested: 10000up: 1.028, reg: 1.200, up+: 0.118, reg+: 0.872, same: 0.010, score: 0.383, median_score: 0.198
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.534, std: 0.259, tested: 5000up: 1.034, reg: 1.454, up+: 0.177, reg+: 0.823, same: 0.000, score: 0.793, median_score: 0.596
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.372, std: 0.207, tested: 7100up: 1.026, reg: 1.338, up+: 0.130, reg+: 0.856, same: 0.014, score: 0.579, median_score: 0.382
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.781, std: 0.372, tested: 2500up: 1.040, reg: 1.560, up+: 0.210, reg+: 0.790, same: 0.000, score: 1.153, median_score: 0.904
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.427, std: 0.221, tested: 5000up: 1.030, reg: 1.357, up+: 0.150, reg+: 0.840, same: 0.010, score: 0.648, median_score: 0.457
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.642, std: 0.321, tested: 2500up: 1.036, reg: 1.551, up+: 0.205, reg+: 0.795, same: 0.000, score: 0.963, median_score: 0.763
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.538, std: 0.270, tested: 3550up: 1.028, reg: 1.470, up+: 0.164, reg+: 0.822, same: 0.014, score: 0.808, median_score: 0.601
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.799, std: 0.407, tested: 1250up: 1.042, reg: 1.600, up+: 0.210, reg+: 0.790, same: 0.000, score: 1.206, median_score: 0.979
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.325, std: 0.199, tested: 7100up: 1.024, reg: 1.285, up+: 0.120, reg+: 0.870, same: 0.010, score: 0.525, median_score: 0.336
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.601, std: 0.289, tested: 3550up: 1.030, reg: 1.518, up+: 0.182, reg+: 0.818, same: 0.000, score: 0.890, median_score: 0.690
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.464, std: 0.241, tested: 5041up: 1.022, reg: 1.417, up+: 0.143, reg+: 0.843, same: 0.014, score: 0.705, median_score: 0.503
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.796, std: 0.386, tested: 1775up: 1.037, reg: 1.586, up+: 0.205, reg+: 0.795, same: 0.000, score: 1.183, median_score: 0.951
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.570, std: 0.275, tested: 2500up: 1.027, reg: 1.422, up+: 0.192, reg+: 0.798, same: 0.010, score: 0.846, median_score: 0.672
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.686, std: 0.354, tested: 1250up: 1.033, reg: 1.551, up+: 0.242, reg+: 0.758, same: 0.000, score: 1.040, median_score: 0.833
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.634, std: 0.323, tested: 1775up: 1.025, reg: 1.503, up+: 0.205, reg+: 0.781, same: 0.014, score: 0.957, median_score: 0.769
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.785, std: 0.408, tested: 625up: 1.039, reg: 1.579, up+: 0.240, reg+: 0.760, same: 0.000, score: 1.193, median_score: 0.946
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'} $0.220 \pm 0.163$ 0.383
