{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.113, std: 0.123, tested: 10000up: 0.252, reg: 0.218, up+: 0.649, reg+: 0.341, same: 0.010, score: 0.236, median_score: 0.088
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.190, std: 0.248, tested: 5000up: 0.267, reg: 0.274, up+: 0.509, reg+: 0.491, same: 0.000, score: 0.437, median_score: 0.128
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.128, std: 0.131, tested: 7100up: 0.245, reg: 0.235, up+: 0.589, reg+: 0.397, same: 0.014, score: 0.259, median_score: 0.099
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.328, std: 0.374, tested: 2500up: 0.265, reg: 0.432, up+: 0.194, reg+: 0.806, same: 0.000, score: 0.702, median_score: 0.195
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.226, std: 0.148, tested: 5000up: 0.250, reg: 0.125, up+: 0.818, reg+: 0.172, same: 0.010, score: 0.374, median_score: 0.224
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.271, std: 0.240, tested: 2500up: 0.265, reg: 0.215, up+: 0.646, reg+: 0.354, same: 0.000, score: 0.511, median_score: 0.238
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.232, std: 0.150, tested: 3550up: 0.243, reg: 0.154, up+: 0.738, reg+: 0.248, same: 0.014, score: 0.381, median_score: 0.225
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.356, std: 0.375, tested: 1250up: 0.263, reg: 0.425, up+: 0.306, reg+: 0.694, same: 0.000, score: 0.732, median_score: 0.236
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.164, std: 0.133, tested: 7100up: 0.257, reg: 0.170, up+: 0.775, reg+: 0.215, same: 0.010, score: 0.297, median_score: 0.151
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.224, std: 0.237, tested: 3550up: 0.272, reg: 0.240, up+: 0.636, reg+: 0.364, same: 0.000, score: 0.462, median_score: 0.177
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.172, std: 0.134, tested: 5041up: 0.250, reg: 0.191, up+: 0.725, reg+: 0.261, same: 0.014, score: 0.306, median_score: 0.159
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.336, std: 0.375, tested: 1775up: 0.270, reg: 0.431, up+: 0.259, reg+: 0.741, same: 0.000, score: 0.711, median_score: 0.212
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.319, std: 0.155, tested: 2500up: 0.257, reg: 0.073, up+: 0.806, reg+: 0.184, same: 0.010, score: 0.475, median_score: 0.345
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.340, std: 0.227, tested: 1250up: 0.272, reg: 0.186, up+: 0.634, reg+: 0.366, same: 0.000, score: 0.567, median_score: 0.330
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.317, std: 0.156, tested: 1775up: 0.250, reg: 0.111, up+: 0.718, reg+: 0.268, same: 0.014, score: 0.473, median_score: 0.343
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.396, std: 0.356, tested: 625up: 0.270, reg: 0.414, up+: 0.330, reg+: 0.670, same: 0.000, score: 0.751, median_score: 0.271
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'} $0.113 \pm 0.123$ 0.236
