{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.176, std: 0.145, tested: 10000up: 0.925, reg: 1.029, up+: 0.184, reg+: 0.806, same: 0.010, score: 0.321, median_score: 0.145
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.362, std: 0.190, tested: 5000up: 0.930, reg: 1.180, up+: 0.171, reg+: 0.829, same: 0.000, score: 0.552, median_score: 0.354
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.262, std: 0.153, tested: 7100up: 0.923, reg: 1.111, up+: 0.150, reg+: 0.836, same: 0.014, score: 0.416, median_score: 0.245
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.540, std: 0.267, tested: 2500up: 0.935, reg: 1.222, up+: 0.209, reg+: 0.791, same: 0.000, score: 0.807, median_score: 0.541
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.262, std: 0.166, tested: 5000up: 0.929, reg: 1.118, up+: 0.125, reg+: 0.865, same: 0.010, score: 0.427, median_score: 0.240
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.402, std: 0.170, tested: 2500up: 0.935, reg: 1.259, up+: 0.130, reg+: 0.870, same: 0.000, score: 0.572, median_score: 0.419
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.331, std: 0.155, tested: 3550up: 0.928, reg: 1.198, up+: 0.105, reg+: 0.881, same: 0.014, score: 0.486, median_score: 0.334
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.585, std: 0.255, tested: 1250up: 0.941, reg: 1.345, up+: 0.162, reg+: 0.838, same: 0.000, score: 0.840, median_score: 0.614
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.209, std: 0.152, tested: 7100up: 0.918, reg: 1.064, up+: 0.150, reg+: 0.840, same: 0.010, score: 0.362, median_score: 0.186
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.367, std: 0.165, tested: 3550up: 0.923, reg: 1.199, up+: 0.144, reg+: 0.856, same: 0.000, score: 0.533, median_score: 0.369
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.284, std: 0.148, tested: 5041up: 0.917, reg: 1.140, up+: 0.124, reg+: 0.862, same: 0.014, score: 0.431, median_score: 0.280
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.559, std: 0.248, tested: 1775up: 0.929, reg: 1.265, up+: 0.186, reg+: 0.814, same: 0.000, score: 0.807, median_score: 0.573
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.378, std: 0.185, tested: 2500up: 0.921, reg: 1.200, up+: 0.139, reg+: 0.851, same: 0.010, score: 0.563, median_score: 0.363
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.488, std: 0.204, tested: 1250up: 0.926, reg: 1.346, up+: 0.132, reg+: 0.868, same: 0.000, score: 0.692, median_score: 0.531
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.441, std: 0.184, tested: 1775up: 0.920, reg: 1.286, up+: 0.120, reg+: 0.866, same: 0.014, score: 0.625, median_score: 0.452
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.609, std: 0.302, tested: 625up: 0.932, reg: 1.442, up+: 0.109, reg+: 0.891, same: 0.000, score: 0.911, median_score: 0.706
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'} $0.176 \pm 0.145$ 0.321
