{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.158, std: 0.169, tested: 10000up: 0.073, reg: 0.038, up+: 0.736, reg+: 0.254, same: 0.010, score: 0.328, median_score: 0.113
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.254, std: 0.262, tested: 5000up: 0.086, reg: 0.084, up+: 0.590, reg+: 0.410, same: 0.000, score: 0.516, median_score: 0.170
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.194, std: 0.185, tested: 7100up: 0.067, reg: 0.047, up+: 0.657, reg+: 0.329, same: 0.014, score: 0.379, median_score: 0.147
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.402, std: 0.318, tested: 2500up: 0.082, reg: 0.186, up+: 0.436, reg+: 0.564, same: 0.000, score: 0.720, median_score: 0.330
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.267, std: 0.214, tested: 5000up: 0.071, reg: 0.024, up+: 0.721, reg+: 0.269, same: 0.010, score: 0.481, median_score: 0.243
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.322, std: 0.296, tested: 2500up: 0.084, reg: 0.142, up+: 0.524, reg+: 0.476, same: 0.000, score: 0.618, median_score: 0.242
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.280, std: 0.238, tested: 3550up: 0.065, reg: 0.067, up+: 0.632, reg+: 0.354, same: 0.014, score: 0.518, median_score: 0.247
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.439, std: 0.359, tested: 1250up: 0.081, reg: 0.367, up+: 0.195, reg+: 0.805, same: 0.000, score: 0.798, median_score: 0.301
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.222, std: 0.197, tested: 7100up: 0.076, reg: 0.021, up+: 0.743, reg+: 0.247, same: 0.010, score: 0.419, median_score: 0.187
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.296, std: 0.272, tested: 3550up: 0.089, reg: 0.106, up+: 0.566, reg+: 0.434, same: 0.000, score: 0.568, median_score: 0.246
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.247, std: 0.212, tested: 5041up: 0.070, reg: 0.047, up+: 0.656, reg+: 0.330, same: 0.014, score: 0.459, median_score: 0.225
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.412, std: 0.329, tested: 1775up: 0.085, reg: 0.288, up+: 0.301, reg+: 0.699, same: 0.000, score: 0.741, median_score: 0.293
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.327, std: 0.236, tested: 2500up: 0.074, reg: 0.029, up+: 0.697, reg+: 0.293, same: 0.010, score: 0.563, median_score: 0.312
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.375, std: 0.326, tested: 1250up: 0.087, reg: 0.161, up+: 0.571, reg+: 0.429, same: 0.000, score: 0.701, median_score: 0.288
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.337, std: 0.270, tested: 1775up: 0.068, reg: 0.081, up+: 0.643, reg+: 0.343, same: 0.014, score: 0.607, median_score: 0.306
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.483, std: 0.381, tested: 625up: 0.084, reg: 0.396, up+: 0.278, reg+: 0.722, same: 0.000, score: 0.864, median_score: 0.449
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'} $0.158 \pm 0.169$ 0.328
