{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.108, std: 0.144, tested: 40000up: 1.061, reg: 1.137, up+: 0.086, reg+: 0.904, same: 0.010, score: 0.252, median_score: 0.034
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.337, std: 0.244, tested: 20000up: 1.067, reg: 1.304, up+: 0.128, reg+: 0.873, same: 0.000, score: 0.582, median_score: 0.281
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.222, std: 0.177, tested: 28400up: 1.060, reg: 1.228, up+: 0.135, reg+: 0.851, same: 0.014, score: 0.400, median_score: 0.153
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.562, std: 0.368, tested: 10000up: 1.075, reg: 1.389, up+: 0.165, reg+: 0.835, same: 0.000, score: 0.930, median_score: 0.503
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.182, std: 0.222, tested: 20000up: 1.063, reg: 1.198, up+: 0.085, reg+: 0.905, same: 0.010, score: 0.404, median_score: 0.038
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.375, std: 0.284, tested: 10000up: 1.069, reg: 1.347, up+: 0.125, reg+: 0.875, same: 0.000, score: 0.659, median_score: 0.290
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.282, std: 0.240, tested: 14200up: 1.061, reg: 1.282, up+: 0.133, reg+: 0.853, same: 0.014, score: 0.522, median_score: 0.162
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.578, std: 0.378, tested: 5000up: 1.077, reg: 1.428, up+: 0.153, reg+: 0.847, same: 0.000, score: 0.956, median_score: 0.537
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.143, std: 0.183, tested: 28400up: 1.059, reg: 1.167, up+: 0.081, reg+: 0.909, same: 0.010, score: 0.326, median_score: 0.036
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.355, std: 0.263, tested: 14200up: 1.065, reg: 1.324, up+: 0.122, reg+: 0.878, same: 0.000, score: 0.618, median_score: 0.286
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.251, std: 0.209, tested: 20164up: 1.058, reg: 1.255, up+: 0.132, reg+: 0.854, same: 0.014, score: 0.459, median_score: 0.157
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.570, std: 0.370, tested: 7100up: 1.073, reg: 1.406, up+: 0.158, reg+: 0.842, same: 0.000, score: 0.940, median_score: 0.529
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.248, std: 0.290, tested: 10000up: 1.061, reg: 1.234, up+: 0.112, reg+: 0.878, same: 0.010, score: 0.538, median_score: 0.050
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.406, std: 0.313, tested: 5000up: 1.066, reg: 1.367, up+: 0.137, reg+: 0.863, same: 0.000, score: 0.719, median_score: 0.292
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.332, std: 0.293, tested: 7100up: 1.059, reg: 1.311, up+: 0.148, reg+: 0.838, same: 0.014, score: 0.625, median_score: 0.172
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.578, std: 0.386, tested: 2500up: 1.074, reg: 1.445, up+: 0.147, reg+: 0.853, same: 0.000, score: 0.964, median_score: 0.523
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'} $0.108 \pm 0.144$ 0.252
