{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.105, std: 0.113, tested: 40000up: 0.156, reg: 0.175, up+: 0.356, reg+: 0.634, same: 0.010, score: 0.218, median_score: 0.078
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.219, std: 0.264, tested: 20000up: 0.169, reg: 0.237, up+: 0.300, reg+: 0.700, same: 0.000, score: 0.483, median_score: 0.135
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.139, std: 0.138, tested: 28400up: 0.150, reg: 0.194, up+: 0.326, reg+: 0.659, same: 0.014, score: 0.277, median_score: 0.106
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.401, std: 0.395, tested: 10000up: 0.168, reg: 0.369, up+: 0.186, reg+: 0.814, same: 0.000, score: 0.797, median_score: 0.238
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.160, std: 0.159, tested: 20000up: 0.155, reg: 0.148, up+: 0.396, reg+: 0.594, same: 0.010, score: 0.319, median_score: 0.105
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.256, std: 0.274, tested: 10000up: 0.169, reg: 0.236, up+: 0.319, reg+: 0.681, same: 0.000, score: 0.530, median_score: 0.152
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.186, std: 0.174, tested: 14200up: 0.149, reg: 0.178, up+: 0.359, reg+: 0.627, same: 0.014, score: 0.360, median_score: 0.122
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.417, std: 0.404, tested: 5000up: 0.168, reg: 0.411, up+: 0.156, reg+: 0.844, same: 0.000, score: 0.820, median_score: 0.241
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.134, std: 0.137, tested: 28400up: 0.158, reg: 0.159, up+: 0.389, reg+: 0.601, same: 0.010, score: 0.271, median_score: 0.091
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.238, std: 0.266, tested: 14200up: 0.171, reg: 0.234, up+: 0.326, reg+: 0.674, same: 0.000, score: 0.504, median_score: 0.143
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.163, std: 0.154, tested: 20164up: 0.152, reg: 0.183, up+: 0.360, reg+: 0.625, same: 0.014, score: 0.317, median_score: 0.113
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.406, std: 0.398, tested: 7100up: 0.170, reg: 0.395, up+: 0.168, reg+: 0.832, same: 0.000, score: 0.803, median_score: 0.242
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.198, std: 0.190, tested: 10000up: 0.158, reg: 0.135, up+: 0.388, reg+: 0.602, same: 0.010, score: 0.389, median_score: 0.109
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.286, std: 0.286, tested: 5000up: 0.171, reg: 0.233, up+: 0.328, reg+: 0.672, same: 0.000, score: 0.573, median_score: 0.177
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.221, std: 0.202, tested: 7100up: 0.152, reg: 0.171, up+: 0.359, reg+: 0.626, same: 0.014, score: 0.423, median_score: 0.141
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.436, std: 0.404, tested: 2500up: 0.170, reg: 0.414, up+: 0.186, reg+: 0.814, same: 0.000, score: 0.841, median_score: 0.264
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'} $0.105 \pm 0.113$ 0.218
