{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.014, std: 0.043, tested: 10000up: 1.471, reg: 1.479, up+: 0.022, reg+: 0.968, same: 0.010, score: 0.057, median_score: 0.007
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.150, std: 0.190, tested: 5000up: 1.478, reg: 1.538, up+: 0.082, reg+: 0.918, same: 0.000, score: 0.340, median_score: 0.091
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.106, std: 0.102, tested: 7100up: 1.473, reg: 1.527, up+: 0.211, reg+: 0.775, same: 0.014, score: 0.208, median_score: 0.101
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.296, std: 0.355, tested: 2500up: 1.498, reg: 1.514, up+: 0.160, reg+: 0.840, same: 0.000, score: 0.651, median_score: 0.175
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.015, std: 0.041, tested: 5000up: 1.470, reg: 1.477, up+: 0.040, reg+: 0.950, same: 0.010, score: 0.056, median_score: 0.008
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.153, std: 0.198, tested: 2500up: 1.477, reg: 1.536, up+: 0.085, reg+: 0.915, same: 0.000, score: 0.351, median_score: 0.091
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.108, std: 0.107, tested: 3550up: 1.472, reg: 1.525, up+: 0.212, reg+: 0.774, same: 0.014, score: 0.214, median_score: 0.099
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.300, std: 0.363, tested: 1250up: 1.497, reg: 1.510, up+: 0.160, reg+: 0.840, same: 0.000, score: 0.664, median_score: 0.175
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.014, std: 0.043, tested: 7100up: 1.472, reg: 1.479, up+: 0.029, reg+: 0.961, same: 0.010, score: 0.056, median_score: 0.007
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.149, std: 0.189, tested: 3550up: 1.479, reg: 1.538, up+: 0.083, reg+: 0.917, same: 0.000, score: 0.338, median_score: 0.087
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.105, std: 0.100, tested: 5041up: 1.474, reg: 1.527, up+: 0.213, reg+: 0.773, same: 0.014, score: 0.206, median_score: 0.099
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.295, std: 0.354, tested: 1775up: 1.499, reg: 1.514, up+: 0.160, reg+: 0.840, same: 0.000, score: 0.649, median_score: 0.175
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.016, std: 0.040, tested: 2500up: 1.472, reg: 1.472, up+: 0.073, reg+: 0.917, same: 0.010, score: 0.055, median_score: 0.008
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.150, std: 0.201, tested: 1250up: 1.478, reg: 1.533, up+: 0.090, reg+: 0.910, same: 0.000, score: 0.351, median_score: 0.087
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.105, std: 0.107, tested: 1775up: 1.474, reg: 1.523, up+: 0.216, reg+: 0.770, same: 0.014, score: 0.212, median_score: 0.097
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.299, std: 0.368, tested: 625up: 1.499, reg: 1.507, up+: 0.160, reg+: 0.840, same: 0.000, score: 0.667, median_score: 0.175
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'} $0.016 \pm 0.040$ 0.055
