{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.096, std: 0.038, tested: 10000up: -0.047, reg: 0.048, up+: 0.005, reg+: 0.985, same: 0.010, score: 0.135, median_score: 0.094
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.248, std: 0.287, tested: 5000up: -0.038, reg: 0.124, up+: 0.062, reg+: 0.938, same: 0.000, score: 0.535, median_score: 0.099
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.139, std: 0.134, tested: 7100up: -0.051, reg: 0.068, up+: 0.043, reg+: 0.943, same: 0.014, score: 0.272, median_score: 0.085
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.538, std: 0.478, tested: 2500up: -0.033, reg: 0.321, up+: 0.073, reg+: 0.927, same: 0.000, score: 1.016, median_score: 0.508
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.095, std: 0.034, tested: 5000up: -0.047, reg: 0.047, up+: 0.006, reg+: 0.984, same: 0.010, score: 0.130, median_score: 0.092
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.250, std: 0.288, tested: 2500up: -0.038, reg: 0.122, up+: 0.064, reg+: 0.936, same: 0.000, score: 0.538, median_score: 0.099
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.139, std: 0.134, tested: 3550up: -0.051, reg: 0.067, up+: 0.049, reg+: 0.937, same: 0.014, score: 0.273, median_score: 0.083
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.536, std: 0.479, tested: 1250up: -0.033, reg: 0.318, up+: 0.083, reg+: 0.917, same: 0.000, score: 1.015, median_score: 0.508
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.096, std: 0.039, tested: 7100up: -0.047, reg: 0.048, up+: 0.005, reg+: 0.985, same: 0.010, score: 0.135, median_score: 0.094
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.248, std: 0.286, tested: 3550up: -0.038, reg: 0.124, up+: 0.062, reg+: 0.938, same: 0.000, score: 0.535, median_score: 0.099
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.138, std: 0.134, tested: 5041up: -0.051, reg: 0.068, up+: 0.044, reg+: 0.942, same: 0.014, score: 0.272, median_score: 0.085
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.537, std: 0.479, tested: 1775up: -0.033, reg: 0.321, up+: 0.073, reg+: 0.927, same: 0.000, score: 1.016, median_score: 0.508
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.094, std: 0.034, tested: 2500up: -0.047, reg: 0.046, up+: 0.004, reg+: 0.986, same: 0.010, score: 0.128, median_score: 0.092
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.250, std: 0.290, tested: 1250up: -0.039, reg: 0.121, up+: 0.067, reg+: 0.933, same: 0.000, score: 0.540, median_score: 0.091
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.139, std: 0.135, tested: 1775up: -0.051, reg: 0.065, up+: 0.053, reg+: 0.933, same: 0.014, score: 0.274, median_score: 0.081
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.537, std: 0.479, tested: 625up: -0.033, reg: 0.316, up+: 0.096, reg+: 0.904, same: 0.000, score: 1.016, median_score: 0.508
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'} $0.094 \pm 0.034$ 0.128
