{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.023, std: 0.023, tested: 10000up: 0.821, reg: 0.841, up+: 0.019, reg+: 0.971, same: 0.010, score: 0.046, median_score: 0.022
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.304, std: 0.156, tested: 5000up: 0.827, reg: 1.043, up+: 0.080, reg+: 0.920, same: 0.000, score: 0.461, median_score: 0.243
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.149, std: 0.078, tested: 7100up: 0.818, reg: 0.937, up+: 0.049, reg+: 0.937, same: 0.014, score: 0.227, median_score: 0.120
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.631, std: 0.285, tested: 2500up: 0.827, reg: 1.262, up+: 0.080, reg+: 0.920, same: 0.000, score: 0.916, median_score: 0.562
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.025, std: 0.030, tested: 5000up: 0.822, reg: 0.841, up+: 0.026, reg+: 0.964, same: 0.010, score: 0.055, median_score: 0.022
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.303, std: 0.156, tested: 2500up: 0.827, reg: 1.041, up+: 0.081, reg+: 0.919, same: 0.000, score: 0.459, median_score: 0.243
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.149, std: 0.078, tested: 3550up: 0.818, reg: 0.936, up+: 0.050, reg+: 0.936, same: 0.014, score: 0.228, median_score: 0.120
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.628, std: 0.284, tested: 1250up: 0.827, reg: 1.259, up+: 0.080, reg+: 0.920, same: 0.000, score: 0.912, median_score: 0.562
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.024, std: 0.027, tested: 7100up: 0.821, reg: 0.841, up+: 0.024, reg+: 0.966, same: 0.010, score: 0.051, median_score: 0.022
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.304, std: 0.157, tested: 3550up: 0.827, reg: 1.042, up+: 0.080, reg+: 0.920, same: 0.000, score: 0.461, median_score: 0.243
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.150, std: 0.079, tested: 5041up: 0.818, reg: 0.936, up+: 0.049, reg+: 0.937, same: 0.014, score: 0.229, median_score: 0.120
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.630, std: 0.285, tested: 1775up: 0.827, reg: 1.261, up+: 0.080, reg+: 0.920, same: 0.000, score: 0.915, median_score: 0.562
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.027, std: 0.036, tested: 2500up: 0.822, reg: 0.839, up+: 0.042, reg+: 0.948, same: 0.010, score: 0.063, median_score: 0.023
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.299, std: 0.153, tested: 1250up: 0.827, reg: 1.038, up+: 0.082, reg+: 0.918, same: 0.000, score: 0.453, median_score: 0.242
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.149, std: 0.077, tested: 1775up: 0.818, reg: 0.933, up+: 0.052, reg+: 0.934, same: 0.014, score: 0.226, median_score: 0.120
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.621, std: 0.280, tested: 625up: 0.827, reg: 1.252, up+: 0.080, reg+: 0.920, same: 0.000, score: 0.901, median_score: 0.551
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'} $0.023 \pm 0.023$ 0.046
