{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.052, std: 0.024, tested: 10000up: 0.347, reg: 0.397, up+: 0.034, reg+: 0.956, same: 0.010, score: 0.076, median_score: 0.057
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.183, std: 0.251, tested: 5000up: 0.363, reg: 0.467, up+: 0.040, reg+: 0.960, same: 0.000, score: 0.434, median_score: 0.137
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.094, std: 0.046, tested: 7100up: 0.341, reg: 0.428, up+: 0.016, reg+: 0.970, same: 0.014, score: 0.140, median_score: 0.087
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.338, std: 0.357, tested: 2500up: 0.360, reg: 0.539, up+: 0.040, reg+: 0.960, same: 0.000, score: 0.695, median_score: 0.223
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.053, std: 0.026, tested: 5000up: 0.347, reg: 0.396, up+: 0.038, reg+: 0.952, same: 0.010, score: 0.079, median_score: 0.057
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.181, std: 0.251, tested: 2500up: 0.363, reg: 0.466, up+: 0.040, reg+: 0.960, same: 0.000, score: 0.432, median_score: 0.137
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.093, std: 0.045, tested: 3550up: 0.341, reg: 0.427, up+: 0.019, reg+: 0.967, same: 0.014, score: 0.138, median_score: 0.085
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.335, std: 0.357, tested: 1250up: 0.360, reg: 0.536, up+: 0.040, reg+: 0.960, same: 0.000, score: 0.692, median_score: 0.223
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.053, std: 0.025, tested: 7100up: 0.347, reg: 0.397, up+: 0.035, reg+: 0.955, same: 0.010, score: 0.078, median_score: 0.057
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.182, std: 0.252, tested: 3550up: 0.363, reg: 0.467, up+: 0.040, reg+: 0.960, same: 0.000, score: 0.434, median_score: 0.137
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.094, std: 0.047, tested: 5041up: 0.341, reg: 0.428, up+: 0.018, reg+: 0.968, same: 0.014, score: 0.141, median_score: 0.087
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.338, std: 0.357, tested: 1775up: 0.360, reg: 0.538, up+: 0.040, reg+: 0.960, same: 0.000, score: 0.695, median_score: 0.223
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.054, std: 0.029, tested: 2500up: 0.348, reg: 0.394, up+: 0.044, reg+: 0.946, same: 0.010, score: 0.082, median_score: 0.057
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.179, std: 0.250, tested: 1250up: 0.363, reg: 0.464, up+: 0.041, reg+: 0.959, same: 0.000, score: 0.429, median_score: 0.137
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.092, std: 0.045, tested: 1775up: 0.341, reg: 0.425, up+: 0.024, reg+: 0.962, same: 0.014, score: 0.137, median_score: 0.084
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.330, std: 0.356, tested: 625up: 0.360, reg: 0.531, up+: 0.040, reg+: 0.960, same: 0.000, score: 0.686, median_score: 0.217
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'} $0.052 \pm 0.024$ 0.076
