{'eps': 'none', 'min_samples': 'none'}, diff: 0.125, std: 0.387, tested: 10000up: 0.149, reg: 0.161, up+: 0.082, reg+: 0.167, same: 0.752, score: 0.512, median_score: 0.000
{'eps': 'none', 'min_samples': 'linear_int'}, diff: 0.171, std: 0.470, tested: 5000up: 0.149, reg: 0.194, up+: 0.087, reg+: 0.162, same: 0.751, score: 0.640, median_score: 0.000
{'eps': 'linear_float', 'min_samples': 'none'}, diff: 0.353, std: 0.633, tested: 5100up: 0.126, reg: 0.316, up+: 0.084, reg+: 0.306, same: 0.609, score: 0.986, median_score: 0.000
{'eps': 'linear_float', 'min_samples': 'linear_int'}, diff: 0.266, std: 0.549, tested: 2550up: 0.125, reg: 0.380, up+: 0.016, reg+: 0.356, same: 0.627, score: 0.815, median_score: 0.000
{'eps': 'none', 'min_samples': 'square_int'}, diff: 0.201, std: 0.507, tested: 2500up: 0.148, reg: 0.220, up+: 0.086, reg+: 0.163, same: 0.750, score: 0.707, median_score: 0.000
{'eps': 'square_float', 'min_samples': 'none'}, diff: 0.839, std: 0.785, tested: 2600up: 0.078, reg: 0.620, up+: 0.132, reg+: 0.634, same: 0.234, score: 1.624, median_score: 0.968
{'eps': 'square_float', 'min_samples': 'square_int'}, diff: 0.947, std: 0.775, tested: 650up: 0.077, reg: 0.847, up+: 0.095, reg+: 0.635, same: 0.269, score: 1.721, median_score: 1.569
{'eps': 'none', 'min_samples': 'root_int'}, diff: 0.152, std: 0.444, tested: 7100up: 0.149, reg: 0.177, up+: 0.087, reg+: 0.162, same: 0.751, score: 0.596, median_score: 0.000
{'eps': 'root_float', 'min_samples': 'none'}, diff: 0.092, std: 0.318, tested: 7100up: 0.140, reg: 0.227, up+: 0.020, reg+: 0.263, same: 0.717, score: 0.411, median_score: 0.000
{'eps': 'root_float', 'min_samples': 'root_int'}, diff: 0.126, std: 0.365, tested: 5041up: 0.140, reg: 0.249, up+: 0.052, reg+: 0.231, same: 0.718, score: 0.491, median_score: 0.000
{'eps': 'linear_float', 'min_samples': 'root_int'}, diff: 0.292, std: 0.567, tested: 3621up: 0.126, reg: 0.346, up+: 0.060, reg+: 0.315, same: 0.626, score: 0.859, median_score: 0.000
{'eps': 'square_float', 'min_samples': 'root_int'}, diff: 0.892, std: 0.787, tested: 1846up: 0.078, reg: 0.679, up+: 0.133, reg+: 0.601, same: 0.265, score: 1.680, median_score: 1.063
{'eps': 'linear_float', 'min_samples': 'square_int'}, diff: 0.319, std: 0.599, tested: 1275up: 0.125, reg: 0.432, up+: 0.033, reg+: 0.340, same: 0.627, score: 0.918, median_score: 0.000
{'eps': 'root_float', 'min_samples': 'square_int'}, diff: 0.193, std: 0.487, tested: 1775up: 0.139, reg: 0.310, up+: 0.063, reg+: 0.220, same: 0.717, score: 0.681, median_score: 0.000
{'eps': 'root_float', 'min_samples': 'none'} $0.092 \pm 0.318$ 0.411
