{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.036, std: 0.040, tested: 30000up: 0.995, reg: 1.009, up+: 0.370, reg+: 0.620, same: 0.010, score: 0.076, median_score: 0.023
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.130, std: 0.156, tested: 15000up: 0.998, reg: 1.061, up+: 0.142, reg+: 0.858, same: 0.000, score: 0.286, median_score: 0.079
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.075, std: 0.093, tested: 21300up: 0.993, reg: 1.035, up+: 0.222, reg+: 0.764, same: 0.014, score: 0.168, median_score: 0.047
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.285, std: 0.291, tested: 7500up: 1.010, reg: 1.129, up+: 0.109, reg+: 0.891, same: 0.000, score: 0.576, median_score: 0.204
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.107, std: 0.070, tested: 15000up: 0.986, reg: 1.072, up+: 0.200, reg+: 0.790, same: 0.010, score: 0.177, median_score: 0.111
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.180, std: 0.145, tested: 7500up: 0.989, reg: 1.101, up+: 0.139, reg+: 0.861, same: 0.000, score: 0.325, median_score: 0.164
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.138, std: 0.094, tested: 10650up: 0.984, reg: 1.088, up+: 0.152, reg+: 0.834, same: 0.014, score: 0.232, median_score: 0.138
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.290, std: 0.281, tested: 3750up: 1.000, reg: 1.123, up+: 0.140, reg+: 0.860, same: 0.000, score: 0.571, median_score: 0.230
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.056, std: 0.041, tested: 4500up: 0.928, reg: 0.975, up+: 0.199, reg+: 0.791, same: 0.010, score: 0.098, median_score: 0.054
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.145, std: 0.145, tested: 2250up: 0.931, reg: 1.014, up+: 0.138, reg+: 0.862, same: 0.000, score: 0.291, median_score: 0.114
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.095, std: 0.084, tested: 3195up: 0.926, reg: 0.995, up+: 0.144, reg+: 0.842, same: 0.014, score: 0.179, median_score: 0.087
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.278, std: 0.286, tested: 1125up: 0.942, reg: 1.060, up+: 0.155, reg+: 0.845, same: 0.000, score: 0.563, median_score: 0.203
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.147, std: 0.108, tested: 7500up: 0.968, reg: 1.082, up+: 0.255, reg+: 0.735, same: 0.010, score: 0.255, median_score: 0.130
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.205, std: 0.162, tested: 3750up: 0.971, reg: 1.104, up+: 0.194, reg+: 0.806, same: 0.000, score: 0.367, median_score: 0.179
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.171, std: 0.125, tested: 5325up: 0.966, reg: 1.096, up+: 0.211, reg+: 0.775, same: 0.014, score: 0.295, median_score: 0.150
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.291, std: 0.285, tested: 1875up: 0.983, reg: 1.109, up+: 0.171, reg+: 0.829, same: 0.000, score: 0.576, median_score: 0.248
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'} $0.036 \pm 0.040$ 0.076
