{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.043, std: 0.042, tested: 30000up: 0.252, reg: 0.273, up+: 0.283, reg+: 0.707, same: 0.010, score: 0.084, median_score: 0.031
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.142, std: 0.254, tested: 15000up: 0.263, reg: 0.322, up+: 0.128, reg+: 0.872, same: 0.000, score: 0.396, median_score: 0.077
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.076, std: 0.081, tested: 21300up: 0.245, reg: 0.295, up+: 0.193, reg+: 0.793, same: 0.014, score: 0.157, median_score: 0.053
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.277, std: 0.373, tested: 7500up: 0.265, reg: 0.389, up+: 0.070, reg+: 0.930, same: 0.000, score: 0.650, median_score: 0.162
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.060, std: 0.052, tested: 15000up: 0.241, reg: 0.247, up+: 0.420, reg+: 0.570, same: 0.010, score: 0.112, median_score: 0.047
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.135, std: 0.255, tested: 7500up: 0.252, reg: 0.286, up+: 0.275, reg+: 0.725, same: 0.000, score: 0.391, median_score: 0.070
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.081, std: 0.081, tested: 10650up: 0.235, reg: 0.265, up+: 0.326, reg+: 0.660, same: 0.014, score: 0.162, median_score: 0.058
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.248, std: 0.382, tested: 3750up: 0.255, reg: 0.339, up+: 0.143, reg+: 0.857, same: 0.000, score: 0.630, median_score: 0.123
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.049, std: 0.049, tested: 4500up: 0.196, reg: 0.219, up+: 0.274, reg+: 0.716, same: 0.010, score: 0.098, median_score: 0.037
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.144, std: 0.253, tested: 2250up: 0.207, reg: 0.267, up+: 0.144, reg+: 0.856, same: 0.000, score: 0.397, median_score: 0.076
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.081, std: 0.086, tested: 3195up: 0.190, reg: 0.242, up+: 0.194, reg+: 0.792, same: 0.014, score: 0.167, median_score: 0.056
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.272, std: 0.374, tested: 1125up: 0.209, reg: 0.329, up+: 0.086, reg+: 0.914, same: 0.000, score: 0.646, median_score: 0.151
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.084, std: 0.065, tested: 7500up: 0.222, reg: 0.184, up+: 0.651, reg+: 0.339, same: 0.010, score: 0.150, median_score: 0.069
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.138, std: 0.255, tested: 3750up: 0.234, reg: 0.228, up+: 0.500, reg+: 0.500, same: 0.000, score: 0.392, median_score: 0.073
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.094, std: 0.086, tested: 5325up: 0.216, reg: 0.205, up+: 0.570, reg+: 0.416, same: 0.014, score: 0.179, median_score: 0.071
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.235, std: 0.384, tested: 1875up: 0.235, reg: 0.283, up+: 0.314, reg+: 0.686, same: 0.000, score: 0.619, median_score: 0.106
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'} $0.043 \pm 0.042$ 0.084
