{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.063, std: 0.106, tested: 30000up: 0.765, reg: 0.786, up+: 0.128, reg+: 0.862, same: 0.010, score: 0.170, median_score: 0.033
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.285, std: 0.160, tested: 15000up: 0.770, reg: 0.952, up+: 0.087, reg+: 0.913, same: 0.000, score: 0.445, median_score: 0.240
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.160, std: 0.116, tested: 21300up: 0.762, reg: 0.865, up+: 0.078, reg+: 0.908, same: 0.014, score: 0.276, median_score: 0.132
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.549, std: 0.265, tested: 7500up: 0.773, reg: 1.121, up+: 0.125, reg+: 0.875, same: 0.000, score: 0.815, median_score: 0.487
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.088, std: 0.171, tested: 15000up: 0.767, reg: 0.744, up+: 0.223, reg+: 0.767, same: 0.010, score: 0.258, median_score: 0.035
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.289, std: 0.186, tested: 7500up: 0.772, reg: 0.894, up+: 0.146, reg+: 0.854, same: 0.000, score: 0.475, median_score: 0.234
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.173, std: 0.166, tested: 10650up: 0.764, reg: 0.816, up+: 0.137, reg+: 0.849, same: 0.014, score: 0.339, median_score: 0.126
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.524, std: 0.267, tested: 3750up: 0.774, reg: 1.035, up+: 0.180, reg+: 0.820, same: 0.000, score: 0.791, median_score: 0.470
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.078, std: 0.148, tested: 21300up: 0.768, reg: 0.769, up+: 0.160, reg+: 0.830, same: 0.010, score: 0.226, median_score: 0.033
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.293, std: 0.180, tested: 10650up: 0.773, reg: 0.930, up+: 0.106, reg+: 0.894, same: 0.000, score: 0.472, median_score: 0.238
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.170, std: 0.150, tested: 15123up: 0.765, reg: 0.846, up+: 0.095, reg+: 0.890, same: 0.014, score: 0.320, median_score: 0.128
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.548, std: 0.274, tested: 5325up: 0.776, reg: 1.090, up+: 0.141, reg+: 0.859, same: 0.000, score: 0.821, median_score: 0.484
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.153, std: 0.265, tested: 7500up: 0.779, reg: 0.682, up+: 0.317, reg+: 0.673, same: 0.010, score: 0.418, median_score: 0.043
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.330, std: 0.241, tested: 3750up: 0.784, reg: 0.810, up+: 0.224, reg+: 0.776, same: 0.000, score: 0.571, median_score: 0.242
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.227, std: 0.249, tested: 5325up: 0.776, reg: 0.745, up+: 0.219, reg+: 0.767, same: 0.014, score: 0.476, median_score: 0.132
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.535, std: 0.275, tested: 1875up: 0.786, reg: 0.923, up+: 0.255, reg+: 0.745, same: 0.000, score: 0.810, median_score: 0.468
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'} $0.063 \pm 0.106$ 0.170
