{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.210, std: 0.217, tested: 30000up: 0.173, reg: 0.298, up+: 0.165, reg+: 0.825, same: 0.010, score: 0.427, median_score: 0.148
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.359, std: 0.328, tested: 15000up: 0.185, reg: 0.386, up+: 0.170, reg+: 0.830, same: 0.000, score: 0.687, median_score: 0.277
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.271, std: 0.243, tested: 21300up: 0.165, reg: 0.348, up+: 0.143, reg+: 0.843, same: 0.014, score: 0.514, median_score: 0.209
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.470, std: 0.390, tested: 7500up: 0.179, reg: 0.424, up+: 0.180, reg+: 0.820, same: 0.000, score: 0.860, median_score: 0.425
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.303, std: 0.333, tested: 15000up: 0.173, reg: 0.243, up+: 0.321, reg+: 0.669, same: 0.010, score: 0.636, median_score: 0.214
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.386, std: 0.372, tested: 7500up: 0.184, reg: 0.277, up+: 0.307, reg+: 0.693, same: 0.000, score: 0.758, median_score: 0.292
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.327, std: 0.325, tested: 10650up: 0.164, reg: 0.259, up+: 0.288, reg+: 0.698, same: 0.014, score: 0.652, median_score: 0.248
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.446, std: 0.418, tested: 3750up: 0.178, reg: 0.289, up+: 0.301, reg+: 0.699, same: 0.000, score: 0.864, median_score: 0.337
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.263, std: 0.288, tested: 21300up: 0.179, reg: 0.285, up+: 0.239, reg+: 0.751, same: 0.010, score: 0.551, median_score: 0.181
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.373, std: 0.351, tested: 10650up: 0.191, reg: 0.341, up+: 0.237, reg+: 0.763, same: 0.000, score: 0.724, median_score: 0.287
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.301, std: 0.292, tested: 15123up: 0.170, reg: 0.315, up+: 0.212, reg+: 0.774, same: 0.014, score: 0.593, median_score: 0.226
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.462, std: 0.407, tested: 5325up: 0.185, reg: 0.369, up+: 0.244, reg+: 0.756, same: 0.000, score: 0.869, median_score: 0.387
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.441, std: 0.450, tested: 7500up: 0.194, reg: 0.111, up+: 0.450, reg+: 0.540, same: 0.010, score: 0.891, median_score: 0.320
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.477, std: 0.441, tested: 3750up: 0.205, reg: 0.133, up+: 0.445, reg+: 0.555, same: 0.000, score: 0.919, median_score: 0.362
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.443, std: 0.428, tested: 5325up: 0.185, reg: 0.120, up+: 0.427, reg+: 0.559, same: 0.014, score: 0.871, median_score: 0.337
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.481, std: 0.449, tested: 1875up: 0.199, reg: 0.145, up+: 0.433, reg+: 0.567, same: 0.000, score: 0.931, median_score: 0.356
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'} $0.210 \pm 0.217$ 0.427
