{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.220, std: 0.163, tested: 10000, up: 1.200, reg: 1.028, up+: 0.872, reg+: 0.118, same: 0.010, score: 0.383, median_score: 0.198
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.222, std: 0.225, tested: 5000, up: 1.208, reg: 1.281, up+: 0.163, reg+: 0.837, same: 0.000, score: 0.446, median_score: 0.164
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.128, std: 0.161, tested: 7100, up: 1.197, reg: 1.158, up+: 0.556, reg+: 0.430, same: 0.014, score: 0.289, median_score: 0.072
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.610, std: 0.340, tested: 2500, up: 1.214, reg: 1.464, up+: 0.215, reg+: 0.785, same: 0.000, score: 0.949, median_score: 0.591
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.017, std: 0.015, tested: 5000, up: 1.201, reg: 1.185, up+: 0.972, reg+: 0.018, same: 0.010, score: 0.032, median_score: 0.015
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.353, std: 0.201, tested: 2500, up: 1.209, reg: 1.448, up+: 0.142, reg+: 0.858, same: 0.000, score: 0.555, median_score: 0.357
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.173, std: 0.107, tested: 3550, up: 1.197, reg: 1.328, up+: 0.124, reg+: 0.862, same: 0.014, score: 0.279, median_score: 0.165
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.634, std: 0.362, tested: 1250, up: 1.215, reg: 1.558, up+: 0.216, reg+: 0.784, same: 0.000, score: 0.995, median_score: 0.671
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.138, std: 0.113, tested: 7100, up: 1.200, reg: 1.098, up+: 0.866, reg+: 0.124, same: 0.010, score: 0.251, median_score: 0.120
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.289, std: 0.199, tested: 3550, up: 1.208, reg: 1.361, up+: 0.150, reg+: 0.850, same: 0.000, score: 0.488, median_score: 0.249
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.110, std: 0.135, tested: 5041, up: 1.196, reg: 1.236, up+: 0.222, reg+: 0.764, same: 0.014, score: 0.246, median_score: 0.072
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.638, std: 0.352, tested: 1775, up: 1.214, reg: 1.518, up+: 0.219, reg+: 0.781, same: 0.000, score: 0.990, median_score: 0.652
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.222, std: 0.139, tested: 2500, up: 1.204, reg: 1.350, up+: 0.211, reg+: 0.779, same: 0.010, score: 0.361, median_score: 0.224
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.470, std: 0.266, tested: 1250, up: 1.212, reg: 1.554, up+: 0.226, reg+: 0.774, same: 0.000, score: 0.736, median_score: 0.501
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.343, std: 0.198, tested: 1775, up: 1.201, reg: 1.469, up+: 0.186, reg+: 0.799, same: 0.014, score: 0.541, median_score: 0.379
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.641, std: 0.409, tested: 625, up: 1.218, reg: 1.602, up+: 0.254, reg+: 0.746, same: 0.000, score: 1.050, median_score: 0.697
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'} $0.017 \pm 0.015$ 0.032
