{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.113, std: 0.123, tested: 10000, up: 0.218, reg: 0.252, up+: 0.341, reg+: 0.649, same: 0.010, score: 0.236, median_score: 0.088
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.220, std: 0.282, tested: 5000, up: 0.234, reg: 0.312, up+: 0.172, reg+: 0.828, same: 0.000, score: 0.502, median_score: 0.135
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.138, std: 0.141, tested: 7100, up: 0.210, reg: 0.278, up+: 0.228, reg+: 0.758, same: 0.014, score: 0.279, median_score: 0.110
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.388, std: 0.411, tested: 2500, up: 0.232, reg: 0.406, up+: 0.126, reg+: 0.874, same: 0.000, score: 0.798, median_score: 0.271
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.039, std: 0.026, tested: 5000, up: 0.218, reg: 0.186, up+: 0.822, reg+: 0.168, same: 0.010, score: 0.065, median_score: 0.038
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.197, std: 0.265, tested: 2500, up: 0.233, reg: 0.262, up+: 0.490, reg+: 0.510, same: 0.000, score: 0.462, median_score: 0.127
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.098, std: 0.087, tested: 3550, up: 0.209, reg: 0.214, up+: 0.575, reg+: 0.411, same: 0.014, score: 0.185, median_score: 0.077
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.377, std: 0.427, tested: 1250, up: 0.232, reg: 0.421, up+: 0.171, reg+: 0.829, same: 0.000, score: 0.804, median_score: 0.231
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.075, std: 0.102, tested: 7100, up: 0.219, reg: 0.223, up+: 0.392, reg+: 0.598, same: 0.010, score: 0.177, median_score: 0.055
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.196, std: 0.281, tested: 3550, up: 0.234, reg: 0.287, up+: 0.333, reg+: 0.667, same: 0.000, score: 0.477, median_score: 0.107
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.103, std: 0.128, tested: 5041, up: 0.211, reg: 0.249, up+: 0.347, reg+: 0.639, same: 0.014, score: 0.231, median_score: 0.054
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.380, std: 0.418, tested: 1775, up: 0.233, reg: 0.408, up+: 0.148, reg+: 0.852, same: 0.000, score: 0.798, median_score: 0.228
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.166, std: 0.101, tested: 2500, up: 0.213, reg: 0.101, up+: 0.841, reg+: 0.149, same: 0.010, score: 0.267, median_score: 0.174
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.251, std: 0.257, tested: 1250, up: 0.229, reg: 0.210, up+: 0.562, reg+: 0.438, same: 0.000, score: 0.508, median_score: 0.223
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.179, std: 0.115, tested: 1775, up: 0.205, reg: 0.142, up+: 0.683, reg+: 0.303, same: 0.014, score: 0.294, median_score: 0.182
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.397, std: 0.429, tested: 625, up: 0.227, reg: 0.421, up+: 0.270, reg+: 0.730, same: 0.000, score: 0.826, median_score: 0.254
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'} $0.039 \pm 0.026$ 0.065
