{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.176, std: 0.145, tested: 10000, up: 1.029, reg: 0.925, up+: 0.806, reg+: 0.184, same: 0.010, score: 0.321, median_score: 0.145
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.240, std: 0.229, tested: 5000, up: 1.035, reg: 1.094, up+: 0.295, reg+: 0.705, same: 0.000, score: 0.469, median_score: 0.168
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.146, std: 0.187, tested: 7100, up: 1.027, reg: 1.016, up+: 0.499, reg+: 0.486, same: 0.014, score: 0.333, median_score: 0.082
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.478, std: 0.308, tested: 2500, up: 1.041, reg: 1.153, up+: 0.285, reg+: 0.715, same: 0.000, score: 0.786, median_score: 0.432
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.020, std: 0.028, tested: 5000, up: 1.029, reg: 1.012, up+: 0.947, reg+: 0.043, same: 0.010, score: 0.047, median_score: 0.017
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.261, std: 0.193, tested: 2500, up: 1.036, reg: 1.171, up+: 0.180, reg+: 0.820, same: 0.000, score: 0.454, median_score: 0.217
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.129, std: 0.123, tested: 3550, up: 1.028, reg: 1.099, up+: 0.157, reg+: 0.829, same: 0.014, score: 0.252, median_score: 0.096
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.462, std: 0.285, tested: 1250, up: 1.041, reg: 1.212, up+: 0.233, reg+: 0.767, same: 0.000, score: 0.747, median_score: 0.412
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.131, std: 0.137, tested: 7100, up: 1.026, reg: 0.974, up+: 0.742, reg+: 0.248, same: 0.010, score: 0.268, median_score: 0.092
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.261, std: 0.217, tested: 3550, up: 1.032, reg: 1.145, up+: 0.223, reg+: 0.777, same: 0.000, score: 0.478, median_score: 0.219
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.148, std: 0.173, tested: 5041, up: 1.024, reg: 1.067, up+: 0.299, reg+: 0.687, same: 0.014, score: 0.321, median_score: 0.094
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.469, std: 0.300, tested: 1775, up: 1.038, reg: 1.194, up+: 0.250, reg+: 0.750, same: 0.000, score: 0.768, median_score: 0.407
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.166, std: 0.173, tested: 2500, up: 1.038, reg: 1.108, up+: 0.295, reg+: 0.695, same: 0.010, score: 0.338, median_score: 0.115
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.306, std: 0.168, tested: 1250, up: 1.045, reg: 1.255, up+: 0.148, reg+: 0.852, same: 0.000, score: 0.473, median_score: 0.299
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.225, std: 0.153, tested: 1775, up: 1.037, reg: 1.191, up+: 0.137, reg+: 0.849, same: 0.014, score: 0.379, median_score: 0.198
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.495, std: 0.254, tested: 625, up: 1.051, reg: 1.340, up+: 0.168, reg+: 0.832, same: 0.000, score: 0.749, median_score: 0.512
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'} $0.020 \pm 0.028$ 0.047
