{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.158, std: 0.169, tested: 10000, up: 0.038, reg: 0.073, up+: 0.254, reg+: 0.736, same: 0.010, score: 0.328, median_score: 0.113
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.213, std: 0.255, tested: 5000, up: 0.051, reg: 0.080, up+: 0.267, reg+: 0.733, same: 0.000, score: 0.468, median_score: 0.135
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.164, std: 0.174, tested: 7100, up: 0.032, reg: 0.072, up+: 0.240, reg+: 0.746, same: 0.014, score: 0.338, median_score: 0.114
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.313, std: 0.347, tested: 2500, up: 0.047, reg: 0.080, up+: 0.375, reg+: 0.625, same: 0.000, score: 0.660, median_score: 0.194
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.040, std: 0.036, tested: 5000, up: 0.035, reg: -0.001, up+: 0.902, reg+: 0.088, same: 0.010, score: 0.077, median_score: 0.037
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.196, std: 0.253, tested: 2500, up: 0.048, reg: 0.061, up+: 0.468, reg+: 0.532, same: 0.000, score: 0.449, median_score: 0.102
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.107, std: 0.119, tested: 3550, up: 0.029, reg: 0.019, up+: 0.577, reg+: 0.409, same: 0.014, score: 0.226, median_score: 0.073
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.395, std: 0.359, tested: 1250, up: 0.045, reg: 0.162, up+: 0.382, reg+: 0.618, same: 0.000, score: 0.753, median_score: 0.367
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.102, std: 0.151, tested: 7100, up: 0.034, reg: 0.034, up+: 0.378, reg+: 0.612, same: 0.010, score: 0.253, median_score: 0.050
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.197, std: 0.264, tested: 3550, up: 0.048, reg: 0.064, up+: 0.392, reg+: 0.608, same: 0.000, score: 0.461, median_score: 0.099
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.125, std: 0.165, tested: 5041, up: 0.029, reg: 0.041, up+: 0.399, reg+: 0.587, same: 0.014, score: 0.290, median_score: 0.063
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.341, std: 0.362, tested: 1775, up: 0.044, reg: 0.111, up+: 0.390, reg+: 0.610, same: 0.000, score: 0.702, median_score: 0.239
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.188, std: 0.183, tested: 2500, up: 0.029, reg: -0.017, up+: 0.779, reg+: 0.211, same: 0.010, score: 0.370, median_score: 0.141
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.271, std: 0.280, tested: 1250, up: 0.043, reg: 0.116, up+: 0.472, reg+: 0.528, same: 0.000, score: 0.551, median_score: 0.205
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.207, std: 0.195, tested: 1775, up: 0.023, reg: 0.035, up+: 0.609, reg+: 0.377, same: 0.014, score: 0.402, median_score: 0.163
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.461, std: 0.353, tested: 625, up: 0.040, reg: 0.342, up+: 0.165, reg+: 0.835, same: 0.000, score: 0.814, median_score: 0.379
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'} $0.040 \pm 0.036$ 0.077
