{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.108, std: 0.144, tested: 40000, up: 1.137, reg: 1.061, up+: 0.904, reg+: 0.086, same: 0.010, score: 0.252, median_score: 0.034
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.220, std: 0.212, tested: 20000, up: 1.144, reg: 1.235, up+: 0.155, reg+: 0.845, same: 0.000, score: 0.432, median_score: 0.165
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.122, std: 0.142, tested: 28400, up: 1.136, reg: 1.154, up+: 0.330, reg+: 0.656, same: 0.014, score: 0.263, median_score: 0.082
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.496, std: 0.352, tested: 10000, up: 1.152, reg: 1.346, up+: 0.185, reg+: 0.815, same: 0.000, score: 0.848, median_score: 0.442
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.016, std: 0.018, tested: 20000, up: 1.138, reg: 1.122, up+: 0.975, reg+: 0.015, same: 0.010, score: 0.034, median_score: 0.014
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.257, std: 0.204, tested: 10000, up: 1.144, reg: 1.297, up+: 0.120, reg+: 0.880, same: 0.000, score: 0.461, median_score: 0.209
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.128, std: 0.109, tested: 14200, up: 1.136, reg: 1.218, up+: 0.136, reg+: 0.850, same: 0.014, score: 0.238, median_score: 0.104
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.497, std: 0.354, tested: 5000, up: 1.152, reg: 1.385, up+: 0.172, reg+: 0.828, same: 0.000, score: 0.851, median_score: 0.428
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.076, std: 0.108, tested: 28400, up: 1.137, reg: 1.091, up+: 0.889, reg+: 0.101, same: 0.010, score: 0.184, median_score: 0.031
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.241, std: 0.205, tested: 14200, up: 1.143, reg: 1.268, up+: 0.134, reg+: 0.866, same: 0.000, score: 0.446, median_score: 0.204
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.118, std: 0.130, tested: 20164, up: 1.135, reg: 1.187, up+: 0.197, reg+: 0.789, same: 0.014, score: 0.248, median_score: 0.083
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.500, std: 0.356, tested: 7100, up: 1.152, reg: 1.370, up+: 0.177, reg+: 0.823, same: 0.000, score: 0.856, median_score: 0.429
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.107, std: 0.145, tested: 10000, up: 1.140, reg: 1.187, up+: 0.607, reg+: 0.383, same: 0.010, score: 0.252, median_score: 0.032
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.298, std: 0.236, tested: 5000, up: 1.147, reg: 1.343, up+: 0.135, reg+: 0.865, same: 0.000, score: 0.534, median_score: 0.236
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.196, std: 0.173, tested: 7100, up: 1.139, reg: 1.275, up+: 0.148, reg+: 0.838, same: 0.014, score: 0.369, median_score: 0.129
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.508, std: 0.362, tested: 2500, up: 1.155, reg: 1.426, up+: 0.166, reg+: 0.834, same: 0.000, score: 0.870, median_score: 0.459
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'} $0.016 \pm 0.018$ 0.034
