{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.105, std: 0.113, tested: 40000, up: 0.175, reg: 0.156, up+: 0.634, reg+: 0.356, same: 0.010, score: 0.218, median_score: 0.078
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.194, std: 0.269, tested: 20000, up: 0.189, reg: 0.217, up+: 0.339, reg+: 0.661, same: 0.000, score: 0.463, median_score: 0.111
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.119, std: 0.132, tested: 28400, up: 0.169, reg: 0.180, up+: 0.474, reg+: 0.512, same: 0.014, score: 0.252, median_score: 0.080
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.358, std: 0.405, tested: 10000, up: 0.188, reg: 0.311, up+: 0.234, reg+: 0.766, same: 0.000, score: 0.763, median_score: 0.213
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.056, std: 0.036, tested: 20000, up: 0.174, reg: 0.122, up+: 0.918, reg+: 0.072, same: 0.010, score: 0.092, median_score: 0.056
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.184, std: 0.263, tested: 10000, up: 0.188, reg: 0.201, up+: 0.468, reg+: 0.532, same: 0.000, score: 0.446, median_score: 0.102
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.095, std: 0.097, tested: 14200, up: 0.168, reg: 0.151, up+: 0.643, reg+: 0.343, same: 0.014, score: 0.192, median_score: 0.068
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.375, std: 0.411, tested: 5000, up: 0.187, reg: 0.336, up+: 0.245, reg+: 0.755, same: 0.000, score: 0.786, median_score: 0.234
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.081, std: 0.096, tested: 28400, up: 0.174, reg: 0.139, up+: 0.677, reg+: 0.313, same: 0.010, score: 0.177, median_score: 0.065
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.184, std: 0.270, tested: 14200, up: 0.188, reg: 0.207, up+: 0.410, reg+: 0.590, same: 0.000, score: 0.453, median_score: 0.096
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.101, std: 0.123, tested: 20164, up: 0.168, reg: 0.165, up+: 0.544, reg+: 0.442, same: 0.014, score: 0.224, median_score: 0.062
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.363, std: 0.410, tested: 7100, up: 0.188, reg: 0.320, up+: 0.242, reg+: 0.758, same: 0.000, score: 0.772, median_score: 0.201
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.125, std: 0.120, tested: 10000, up: 0.172, reg: 0.096, up+: 0.889, reg+: 0.101, same: 0.010, score: 0.245, median_score: 0.090
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.216, std: 0.272, tested: 5000, up: 0.185, reg: 0.201, up+: 0.487, reg+: 0.513, same: 0.000, score: 0.487, median_score: 0.133
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.140, std: 0.140, tested: 7100, up: 0.165, reg: 0.137, up+: 0.678, reg+: 0.308, same: 0.014, score: 0.280, median_score: 0.106
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.396, std: 0.412, tested: 2500, up: 0.185, reg: 0.380, up+: 0.216, reg+: 0.784, same: 0.000, score: 0.809, median_score: 0.257
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'} $0.056 \pm 0.036$ 0.092
