{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.014, std: 0.043, tested: 10000, up: 1.479, reg: 1.471, up+: 0.968, reg+: 0.022, same: 0.010, score: 0.057, median_score: 0.007
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.143, std: 0.200, tested: 5000, up: 1.487, reg: 1.533, up+: 0.082, reg+: 0.918, same: 0.000, score: 0.343, median_score: 0.073
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.098, std: 0.103, tested: 7100, up: 1.481, reg: 1.521, up+: 0.211, reg+: 0.775, same: 0.014, score: 0.201, median_score: 0.089
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.290, std: 0.364, tested: 2500, up: 1.506, reg: 1.510, up+: 0.160, reg+: 0.840, same: 0.000, score: 0.655, median_score: 0.163
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.009, std: 0.006, tested: 5000, up: 1.479, reg: 1.471, up+: 0.990, reg+: 0.000, same: 0.010, score: 0.014, median_score: 0.007
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.141, std: 0.194, tested: 2500, up: 1.487, reg: 1.534, up+: 0.080, reg+: 0.920, same: 0.000, score: 0.335, median_score: 0.073
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.097, std: 0.098, tested: 3550, up: 1.481, reg: 1.522, up+: 0.209, reg+: 0.777, same: 0.014, score: 0.195, median_score: 0.089
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.287, std: 0.358, tested: 1250, up: 1.506, reg: 1.512, up+: 0.160, reg+: 0.840, same: 0.000, score: 0.645, median_score: 0.163
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.013, std: 0.038, tested: 7100, up: 1.480, reg: 1.471, up+: 0.973, reg+: 0.017, same: 0.010, score: 0.051, median_score: 0.007
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.141, std: 0.197, tested: 3550, up: 1.487, reg: 1.534, up+: 0.083, reg+: 0.917, same: 0.000, score: 0.339, median_score: 0.073
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.097, std: 0.101, tested: 5041, up: 1.481, reg: 1.521, up+: 0.212, reg+: 0.774, same: 0.014, score: 0.199, median_score: 0.089
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.288, std: 0.362, tested: 1775, up: 1.507, reg: 1.511, up+: 0.160, reg+: 0.840, same: 0.000, score: 0.650, median_score: 0.163
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.018, std: 0.050, tested: 2500, up: 1.477, reg: 1.468, up+: 0.948, reg+: 0.042, same: 0.010, score: 0.069, median_score: 0.008
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.144, std: 0.202, tested: 1250, up: 1.485, reg: 1.532, up+: 0.087, reg+: 0.913, same: 0.000, score: 0.347, median_score: 0.073
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.099, std: 0.104, tested: 1775, up: 1.478, reg: 1.519, up+: 0.214, reg+: 0.772, same: 0.014, score: 0.204, median_score: 0.088
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.292, std: 0.365, tested: 625, up: 1.504, reg: 1.508, up+: 0.160, reg+: 0.840, same: 0.000, score: 0.658, median_score: 0.163
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'} $0.009 \pm 0.006$ 0.014
