{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.096, std: 0.038, tested: 10000, up: 0.048, reg: -0.047, up+: 0.985, reg+: 0.005, same: 0.010, score: 0.135, median_score: 0.094
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.234, std: 0.246, tested: 5000, up: 0.058, reg: 0.045, up+: 0.719, reg+: 0.281, same: 0.000, score: 0.480, median_score: 0.141
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.133, std: 0.092, tested: 7100, up: 0.043, reg: -0.016, up+: 0.786, reg+: 0.200, same: 0.014, score: 0.225, median_score: 0.132
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.459, std: 0.452, tested: 2500, up: 0.064, reg: 0.238, up+: 0.393, reg+: 0.607, same: 0.000, score: 0.911, median_score: 0.333
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.094, std: 0.026, tested: 5000, up: 0.048, reg: -0.046, up+: 0.990, reg+: 0.000, same: 0.010, score: 0.120, median_score: 0.092
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.233, std: 0.244, tested: 2500, up: 0.058, reg: 0.046, up+: 0.718, reg+: 0.282, same: 0.000, score: 0.477, median_score: 0.141
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.132, std: 0.091, tested: 3550, up: 0.043, reg: -0.015, up+: 0.783, reg+: 0.203, same: 0.014, score: 0.224, median_score: 0.132
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.458, std: 0.452, tested: 1250, up: 0.064, reg: 0.241, up+: 0.386, reg+: 0.614, same: 0.000, score: 0.911, median_score: 0.333
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.096, std: 0.035, tested: 7100, up: 0.048, reg: -0.047, up+: 0.985, reg+: 0.005, same: 0.010, score: 0.130, median_score: 0.094
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.234, std: 0.245, tested: 3550, up: 0.058, reg: 0.045, up+: 0.719, reg+: 0.281, same: 0.000, score: 0.479, median_score: 0.141
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.133, std: 0.092, tested: 5041, up: 0.043, reg: -0.016, up+: 0.786, reg+: 0.200, same: 0.014, score: 0.225, median_score: 0.132
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.458, std: 0.452, tested: 1775, up: 0.064, reg: 0.239, up+: 0.390, reg+: 0.610, same: 0.000, score: 0.911, median_score: 0.333
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.096, std: 0.038, tested: 2500, up: 0.047, reg: -0.047, up+: 0.982, reg+: 0.008, same: 0.010, score: 0.135, median_score: 0.094
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.234, std: 0.246, tested: 1250, up: 0.058, reg: 0.045, up+: 0.718, reg+: 0.282, same: 0.000, score: 0.480, median_score: 0.141
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.133, std: 0.092, tested: 1775, up: 0.043, reg: -0.016, up+: 0.784, reg+: 0.202, same: 0.014, score: 0.225, median_score: 0.132
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.458, std: 0.452, tested: 625, up: 0.064, reg: 0.238, up+: 0.389, reg+: 0.611, same: 0.000, score: 0.911, median_score: 0.333
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'} $0.094 \pm 0.026$ 0.120
