{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.023, std: 0.023, tested: 10000, up: 0.841, reg: 0.821, up+: 0.971, reg+: 0.019, same: 0.010, score: 0.046, median_score: 0.022
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.273, std: 0.167, tested: 5000, up: 0.846, reg: 1.033, up+: 0.079, reg+: 0.921, same: 0.000, score: 0.440, median_score: 0.210
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.114, std: 0.087, tested: 7100, up: 0.838, reg: 0.922, up+: 0.053, reg+: 0.933, same: 0.014, score: 0.202, median_score: 0.082
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.606, std: 0.292, tested: 2500, up: 0.848, reg: 1.257, up+: 0.080, reg+: 0.920, same: 0.000, score: 0.898, median_score: 0.532
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.020, std: 0.012, tested: 5000, up: 0.841, reg: 0.822, up+: 0.990, reg+: 0.000, same: 0.010, score: 0.031, median_score: 0.020
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.274, std: 0.169, tested: 2500, up: 0.846, reg: 1.033, up+: 0.078, reg+: 0.922, same: 0.000, score: 0.443, median_score: 0.210
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.116, std: 0.091, tested: 3550, up: 0.838, reg: 0.922, up+: 0.054, reg+: 0.932, same: 0.014, score: 0.206, median_score: 0.082
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.606, std: 0.294, tested: 1250, up: 0.848, reg: 1.257, up+: 0.080, reg+: 0.920, same: 0.000, score: 0.900, median_score: 0.532
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.022, std: 0.020, tested: 7100, up: 0.842, reg: 0.822, up+: 0.975, reg+: 0.015, same: 0.010, score: 0.042, median_score: 0.021
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.274, std: 0.168, tested: 3550, up: 0.846, reg: 1.033, up+: 0.079, reg+: 0.921, same: 0.000, score: 0.441, median_score: 0.210
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.115, std: 0.089, tested: 5041, up: 0.839, reg: 0.922, up+: 0.054, reg+: 0.932, same: 0.014, score: 0.203, median_score: 0.082
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.606, std: 0.292, tested: 1775, up: 0.848, reg: 1.257, up+: 0.080, reg+: 0.920, same: 0.000, score: 0.899, median_score: 0.532
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.022, std: 0.020, tested: 2500, up: 0.842, reg: 0.821, up+: 0.972, reg+: 0.018, same: 0.010, score: 0.043, median_score: 0.022
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.272, std: 0.169, tested: 1250, up: 0.846, reg: 1.031, up+: 0.080, reg+: 0.920, same: 0.000, score: 0.441, median_score: 0.210
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.115, std: 0.091, tested: 1775, up: 0.839, reg: 0.922, up+: 0.055, reg+: 0.931, same: 0.014, score: 0.206, median_score: 0.082
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.603, std: 0.293, tested: 625, up: 0.848, reg: 1.255, up+: 0.080, reg+: 0.920, same: 0.000, score: 0.895, median_score: 0.532
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'} $0.020 \pm 0.012$ 0.031
