{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.052, std: 0.024, tested: 10000, up: 0.397, reg: 0.347, up+: 0.956, reg+: 0.034, same: 0.010, score: 0.076, median_score: 0.057
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.108, std: 0.272, tested: 5000, up: 0.411, reg: 0.434, up+: 0.198, reg+: 0.802, same: 0.000, score: 0.380, median_score: 0.047
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.042, std: 0.056, tested: 7100, up: 0.390, reg: 0.387, up+: 0.642, reg+: 0.344, same: 0.014, score: 0.098, median_score: 0.025
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.271, std: 0.377, tested: 2500, up: 0.409, reg: 0.520, up+: 0.040, reg+: 0.960, same: 0.000, score: 0.648, median_score: 0.149
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.050, std: 0.021, tested: 5000, up: 0.397, reg: 0.347, up+: 0.959, reg+: 0.031, same: 0.010, score: 0.071, median_score: 0.057
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.108, std: 0.272, tested: 2500, up: 0.411, reg: 0.434, up+: 0.196, reg+: 0.804, same: 0.000, score: 0.380, median_score: 0.046
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.043, std: 0.057, tested: 3550, up: 0.390, reg: 0.387, up+: 0.639, reg+: 0.347, same: 0.014, score: 0.100, median_score: 0.025
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.272, std: 0.377, tested: 1250, up: 0.409, reg: 0.521, up+: 0.040, reg+: 0.960, same: 0.000, score: 0.649, median_score: 0.149
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.052, std: 0.024, tested: 7100, up: 0.397, reg: 0.347, up+: 0.956, reg+: 0.034, same: 0.010, score: 0.075, median_score: 0.057
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.108, std: 0.272, tested: 3550, up: 0.411, reg: 0.434, up+: 0.198, reg+: 0.802, same: 0.000, score: 0.380, median_score: 0.048
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.043, std: 0.056, tested: 5041, up: 0.390, reg: 0.387, up+: 0.644, reg+: 0.342, same: 0.014, score: 0.099, median_score: 0.025
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.271, std: 0.377, tested: 1775, up: 0.410, reg: 0.521, up+: 0.040, reg+: 0.960, same: 0.000, score: 0.648, median_score: 0.149
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.052, std: 0.025, tested: 2500, up: 0.397, reg: 0.346, up+: 0.954, reg+: 0.036, same: 0.010, score: 0.077, median_score: 0.057
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.107, std: 0.271, tested: 1250, up: 0.411, reg: 0.433, up+: 0.198, reg+: 0.802, same: 0.000, score: 0.378, median_score: 0.046
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.042, std: 0.056, tested: 1775, up: 0.390, reg: 0.386, up+: 0.637, reg+: 0.349, same: 0.014, score: 0.099, median_score: 0.025
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.269, std: 0.376, tested: 625, up: 0.409, reg: 0.518, up+: 0.040, reg+: 0.960, same: 0.000, score: 0.645, median_score: 0.149
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'} $0.050 \pm 0.021$ 0.071
