{'eps': 'none', 'min_samples': 'none'}, diff: 0.150, std: 0.381, tested: 10000, up: -0.790, reg: -0.813, up+: 0.129, reg+: 0.051, same: 0.820, score: 0.530, median_score: 0.000
{'eps': 'none', 'min_samples': 'linear_int'}, diff: 0.005, std: 0.024, tested: 5000, up: -0.790, reg: -0.793, up+: 0.091, reg+: 0.041, same: 0.869, score: 0.029, median_score: 0.000
{'eps': 'linear_float', 'min_samples': 'none'}, diff: 0.531, std: 0.745, tested: 5100, up: -0.809, reg: -0.633, up+: 0.125, reg+: 0.252, same: 0.623, score: 1.276, median_score: 0.000
{'eps': 'linear_float', 'min_samples': 'linear_int'}, diff: 0.499, std: 0.783, tested: 2550, up: -0.809, reg: -0.593, up+: 0.124, reg+: 0.204, same: 0.672, score: 1.282, median_score: 0.000
{'eps': 'none', 'min_samples': 'square_int'}, diff: 0.085, std: 0.279, tested: 2500, up: -0.793, reg: -0.744, up+: 0.068, reg+: 0.090, same: 0.842, score: 0.363, median_score: 0.000
{'eps': 'square_float', 'min_samples': 'none'}, diff: 0.831, std: 0.813, tested: 2600, up: -0.843, reg: -0.388, up+: 0.118, reg+: 0.447, same: 0.434, score: 1.645, median_score: 0.961
{'eps': 'square_float', 'min_samples': 'square_int'}, diff: 1.161, std: 0.918, tested: 650, up: -0.845, reg: -0.015, up+: 0.115, reg+: 0.545, same: 0.340, score: 2.079, median_score: 1.343
{'eps': 'none', 'min_samples': 'root_int'}, diff: 0.074, std: 0.248, tested: 7100, up: -0.791, reg: -0.809, up+: 0.119, reg+: 0.032, same: 0.849, score: 0.322, median_score: 0.000
{'eps': 'root_float', 'min_samples': 'none'}, diff: 0.363, std: 0.643, tested: 7100, up: -0.800, reg: -0.736, up+: 0.126, reg+: 0.155, same: 0.719, score: 1.007, median_score: 0.000
{'eps': 'root_float', 'min_samples': 'root_int'}, diff: 0.298, std: 0.604, tested: 5041, up: -0.801, reg: -0.730, up+: 0.125, reg+: 0.116, same: 0.759, score: 0.902, median_score: 0.000
{'eps': 'linear_float', 'min_samples': 'root_int'}, diff: 0.511, std: 0.761, tested: 3621, up: -0.810, reg: -0.625, up+: 0.124, reg+: 0.225, same: 0.650, score: 1.272, median_score: 0.000
{'eps': 'square_float', 'min_samples': 'root_int'}, diff: 0.928, std: 0.844, tested: 1846, up: -0.844, reg: -0.285, up+: 0.118, reg+: 0.483, same: 0.399, score: 1.772, median_score: 1.004
{'eps': 'linear_float', 'min_samples': 'square_int'}, diff: 0.456, std: 0.805, tested: 1275, up: -0.812, reg: -0.498, up+: 0.111, reg+: 0.198, same: 0.690, score: 1.261, median_score: 0.000
{'eps': 'root_float', 'min_samples': 'square_int'}, diff: 0.184, std: 0.553, tested: 1775, up: -0.802, reg: -0.639, up+: 0.084, reg+: 0.125, same: 0.791, score: 0.737, median_score: 0.000
{'eps': 'none', 'min_samples': 'linear_int'} $0.005 \pm 0.024$ 0.029
