{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.036, std: 0.040, tested: 30000, up: 1.009, reg: 0.995, up+: 0.620, reg+: 0.370, same: 0.010, score: 0.076, median_score: 0.023
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.124, std: 0.156, tested: 15000, up: 1.012, reg: 1.062, up+: 0.177, reg+: 0.823, same: 0.000, score: 0.280, median_score: 0.068
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.068, std: 0.090, tested: 21300, up: 1.008, reg: 1.030, up+: 0.270, reg+: 0.716, same: 0.014, score: 0.158, median_score: 0.041
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.272, std: 0.299, tested: 7500, up: 1.025, reg: 1.125, up+: 0.143, reg+: 0.857, same: 0.000, score: 0.571, median_score: 0.183
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.103, std: 0.066, tested: 15000, up: 0.998, reg: 1.048, up+: 0.334, reg+: 0.656, same: 0.010, score: 0.170, median_score: 0.105
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.178, std: 0.149, tested: 7500, up: 1.000, reg: 1.098, up+: 0.201, reg+: 0.799, same: 0.000, score: 0.327, median_score: 0.172
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.134, std: 0.096, tested: 10650, up: 0.996, reg: 1.077, up+: 0.242, reg+: 0.744, same: 0.014, score: 0.230, median_score: 0.141
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.284, std: 0.286, tested: 3750, up: 1.013, reg: 1.122, up+: 0.167, reg+: 0.833, same: 0.000, score: 0.570, median_score: 0.234
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.067, std: 0.052, tested: 4500, up: 0.934, reg: 0.963, up+: 0.292, reg+: 0.698, same: 0.010, score: 0.119, median_score: 0.058
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.153, std: 0.146, tested: 2250, up: 0.937, reg: 1.017, up+: 0.166, reg+: 0.834, same: 0.000, score: 0.299, median_score: 0.130
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.104, std: 0.085, tested: 3195, up: 0.933, reg: 0.992, up+: 0.183, reg+: 0.803, same: 0.014, score: 0.189, median_score: 0.098
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.275, std: 0.289, tested: 1125, up: 0.949, reg: 1.059, up+: 0.154, reg+: 0.846, same: 0.000, score: 0.565, median_score: 0.197
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.105, std: 0.081, tested: 7500, up: 0.977, reg: 1.039, up+: 0.308, reg+: 0.682, same: 0.010, score: 0.187, median_score: 0.090
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.169, std: 0.155, tested: 3750, up: 0.979, reg: 1.083, up+: 0.163, reg+: 0.837, same: 0.000, score: 0.325, median_score: 0.137
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.128, std: 0.108, tested: 5325, up: 0.975, reg: 1.064, up+: 0.208, reg+: 0.778, same: 0.014, score: 0.236, median_score: 0.109
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.268, std: 0.287, tested: 1875, up: 0.991, reg: 1.099, up+: 0.134, reg+: 0.866, same: 0.000, score: 0.555, median_score: 0.210
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'} $0.036 \pm 0.040$ 0.076
