{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.043, std: 0.042, tested: 30000, up: 0.273, reg: 0.252, up+: 0.707, reg+: 0.283, same: 0.010, score: 0.084, median_score: 0.031
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.122, std: 0.258, tested: 15000, up: 0.284, reg: 0.303, up+: 0.341, reg+: 0.659, same: 0.000, score: 0.381, median_score: 0.054
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.064, std: 0.082, tested: 21300, up: 0.266, reg: 0.276, up+: 0.481, reg+: 0.505, same: 0.014, score: 0.145, median_score: 0.038
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.247, std: 0.380, tested: 7500, up: 0.288, reg: 0.373, up+: 0.144, reg+: 0.856, same: 0.000, score: 0.627, median_score: 0.135
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.071, std: 0.060, tested: 15000, up: 0.261, reg: 0.218, up+: 0.690, reg+: 0.300, same: 0.010, score: 0.132, median_score: 0.055
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.129, std: 0.256, tested: 7500, up: 0.273, reg: 0.267, up+: 0.451, reg+: 0.549, same: 0.000, score: 0.385, median_score: 0.068
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.081, std: 0.081, tested: 10650, up: 0.255, reg: 0.242, up+: 0.548, reg+: 0.438, same: 0.014, score: 0.162, median_score: 0.058
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.229, std: 0.383, tested: 3750, up: 0.276, reg: 0.325, up+: 0.240, reg+: 0.760, same: 0.000, score: 0.612, median_score: 0.109
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.063, std: 0.059, tested: 4500, up: 0.220, reg: 0.189, up+: 0.658, reg+: 0.332, same: 0.010, score: 0.122, median_score: 0.046
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.127, std: 0.252, tested: 2250, up: 0.231, reg: 0.242, up+: 0.381, reg+: 0.619, same: 0.000, score: 0.378, median_score: 0.066
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.074, std: 0.080, tested: 3195, up: 0.213, reg: 0.215, up+: 0.510, reg+: 0.476, same: 0.014, score: 0.154, median_score: 0.053
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.241, std: 0.375, tested: 1125, up: 0.233, reg: 0.309, up+: 0.173, reg+: 0.827, same: 0.000, score: 0.616, median_score: 0.131
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.113, std: 0.077, tested: 7500, up: 0.241, reg: 0.146, up+: 0.801, reg+: 0.189, same: 0.010, score: 0.190, median_score: 0.107
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.143, std: 0.251, tested: 3750, up: 0.252, reg: 0.204, up+: 0.621, reg+: 0.379, same: 0.000, score: 0.394, median_score: 0.088
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.108, std: 0.083, tested: 5325, up: 0.234, reg: 0.175, up+: 0.716, reg+: 0.270, same: 0.014, score: 0.191, median_score: 0.097
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.225, std: 0.380, tested: 1875, up: 0.255, reg: 0.268, up+: 0.397, reg+: 0.603, same: 0.000, score: 0.605, median_score: 0.106
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'} $0.043 \pm 0.042$ 0.084
