{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.063, std: 0.106, tested: 30000, up: 0.786, reg: 0.765, up+: 0.862, reg+: 0.128, same: 0.010, score: 0.170, median_score: 0.033
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.226, std: 0.164, tested: 15000, up: 0.791, reg: 0.947, up+: 0.074, reg+: 0.926, same: 0.000, score: 0.390, median_score: 0.186
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.100, std: 0.123, tested: 21300, up: 0.783, reg: 0.853, up+: 0.147, reg+: 0.839, same: 0.014, score: 0.224, median_score: 0.072
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.497, std: 0.258, tested: 7500, up: 0.793, reg: 1.126, up+: 0.095, reg+: 0.905, same: 0.000, score: 0.755, median_score: 0.444
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.026, std: 0.025, tested: 15000, up: 0.786, reg: 0.766, up+: 0.934, reg+: 0.056, same: 0.010, score: 0.051, median_score: 0.023
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.230, std: 0.149, tested: 7500, up: 0.791, reg: 0.941, up+: 0.109, reg+: 0.891, same: 0.000, score: 0.379, median_score: 0.187
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.097, std: 0.081, tested: 10650, up: 0.783, reg: 0.851, up+: 0.089, reg+: 0.897, same: 0.014, score: 0.177, median_score: 0.074
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.499, std: 0.270, tested: 3750, up: 0.793, reg: 1.115, up+: 0.133, reg+: 0.867, same: 0.000, score: 0.769, median_score: 0.438
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.045, std: 0.085, tested: 21300, up: 0.786, reg: 0.770, up+: 0.888, reg+: 0.102, same: 0.010, score: 0.130, median_score: 0.026
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.232, std: 0.157, tested: 10650, up: 0.791, reg: 0.948, up+: 0.093, reg+: 0.907, same: 0.000, score: 0.388, median_score: 0.188
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.100, std: 0.108, tested: 15123, up: 0.783, reg: 0.856, up+: 0.085, reg+: 0.901, same: 0.014, score: 0.208, median_score: 0.074
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.501, std: 0.263, tested: 5325, up: 0.793, reg: 1.123, up+: 0.115, reg+: 0.885, same: 0.000, score: 0.765, median_score: 0.442
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.073, std: 0.144, tested: 7500, up: 0.790, reg: 0.723, up+: 0.913, reg+: 0.077, same: 0.010, score: 0.217, median_score: 0.032
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.242, std: 0.180, tested: 3750, up: 0.794, reg: 0.882, up+: 0.150, reg+: 0.850, same: 0.000, score: 0.421, median_score: 0.188
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.121, std: 0.153, tested: 5325, up: 0.787, reg: 0.801, up+: 0.148, reg+: 0.838, same: 0.014, score: 0.274, median_score: 0.077
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.481, std: 0.263, tested: 1875, up: 0.796, reg: 1.029, up+: 0.186, reg+: 0.814, same: 0.000, score: 0.744, median_score: 0.424
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'} $0.026 \pm 0.025$ 0.051
