{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.210, std: 0.217, tested: 30000, up: 0.298, reg: 0.173, up+: 0.825, reg+: 0.165, same: 0.010, score: 0.427, median_score: 0.148
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.151, std: 0.315, tested: 15000, up: 0.311, reg: 0.346, up+: 0.363, reg+: 0.637, same: 0.000, score: 0.465, median_score: 0.059
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.139, std: 0.202, tested: 21300, up: 0.289, reg: 0.265, up+: 0.640, reg+: 0.345, same: 0.014, score: 0.341, median_score: 0.068
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.300, std: 0.396, tested: 7500, up: 0.307, reg: 0.449, up+: 0.098, reg+: 0.902, same: 0.000, score: 0.695, median_score: 0.164
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.059, std: 0.045, tested: 15000, up: 0.297, reg: 0.256, up+: 0.889, reg+: 0.101, same: 0.010, score: 0.104, median_score: 0.054
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.162, std: 0.268, tested: 7500, up: 0.310, reg: 0.364, up+: 0.240, reg+: 0.760, same: 0.000, score: 0.430, median_score: 0.076
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.073, std: 0.088, tested: 10650, up: 0.287, reg: 0.316, up+: 0.437, reg+: 0.549, same: 0.014, score: 0.162, median_score: 0.042
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.292, std: 0.375, tested: 3750, up: 0.305, reg: 0.413, up+: 0.190, reg+: 0.810, same: 0.000, score: 0.667, median_score: 0.171
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.126, std: 0.160, tested: 21300, up: 0.295, reg: 0.230, up+: 0.844, reg+: 0.146, same: 0.010, score: 0.286, median_score: 0.076
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.158, std: 0.292, tested: 10650, up: 0.309, reg: 0.372, up+: 0.194, reg+: 0.806, same: 0.000, score: 0.450, median_score: 0.076
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.075, std: 0.161, tested: 15123, up: 0.286, reg: 0.307, up+: 0.571, reg+: 0.415, same: 0.014, score: 0.236, median_score: 0.038
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.301, std: 0.386, tested: 5325, up: 0.304, reg: 0.439, up+: 0.132, reg+: 0.868, same: 0.000, score: 0.687, median_score: 0.169
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.155, std: 0.263, tested: 7500, up: 0.299, reg: 0.207, up+: 0.772, reg+: 0.218, same: 0.010, score: 0.418, median_score: 0.074
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.213, std: 0.341, tested: 3750, up: 0.312, reg: 0.263, up+: 0.456, reg+: 0.544, same: 0.000, score: 0.554, median_score: 0.096
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.154, std: 0.265, tested: 5325, up: 0.289, reg: 0.235, up+: 0.630, reg+: 0.356, same: 0.014, score: 0.419, median_score: 0.057
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.290, std: 0.409, tested: 1875, up: 0.307, reg: 0.286, up+: 0.406, reg+: 0.594, same: 0.000, score: 0.698, median_score: 0.164
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'} $0.059 \pm 0.045$ 0.104
