{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.154, std: 0.145, tested: 10000, up: 1.018, reg: 0.943, up+: 0.821, reg+: 0.169, same: 0.010, score: 0.299, median_score: 0.109
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.252, std: 0.191, tested: 5000, up: 1.023, reg: 1.070, up+: 0.280, reg+: 0.720, same: 0.000, score: 0.443, median_score: 0.209
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.131, std: 0.165, tested: 7100, up: 1.017, reg: 1.024, up+: 0.329, reg+: 0.657, same: 0.014, score: 0.296, median_score: 0.082
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.503, std: 0.292, tested: 2500, up: 1.031, reg: 1.033, up+: 0.422, reg+: 0.578, same: 0.000, score: 0.795, median_score: 0.486
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.028, std: 0.016, tested: 5000, up: 1.018, reg: 0.990, up+: 0.990, reg+: 0.000, same: 0.010, score: 0.044, median_score: 0.026
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.290, std: 0.186, tested: 2500, up: 1.022, reg: 1.102, up+: 0.318, reg+: 0.682, same: 0.000, score: 0.476, median_score: 0.269
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.147, std: 0.129, tested: 3550, up: 1.017, reg: 1.068, up+: 0.251, reg+: 0.735, same: 0.014, score: 0.276, median_score: 0.112
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.482, std: 0.311, tested: 1250, up: 1.030, reg: 1.008, up+: 0.421, reg+: 0.579, same: 0.000, score: 0.792, median_score: 0.498
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.121, std: 0.121, tested: 7100, up: 1.017, reg: 0.961, up+: 0.807, reg+: 0.183, same: 0.010, score: 0.242, median_score: 0.077
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.277, std: 0.190, tested: 3550, up: 1.021, reg: 1.080, up+: 0.304, reg+: 0.696, same: 0.000, score: 0.467, median_score: 0.229
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.142, std: 0.152, tested: 5041, up: 1.016, reg: 1.040, up+: 0.249, reg+: 0.737, same: 0.014, score: 0.294, median_score: 0.093
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.507, std: 0.299, tested: 1775, up: 1.030, reg: 1.016, up+: 0.441, reg+: 0.559, same: 0.000, score: 0.806, median_score: 0.501
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.170, std: 0.166, tested: 2500, up: 1.018, reg: 1.075, up+: 0.292, reg+: 0.698, same: 0.010, score: 0.336, median_score: 0.114
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.363, std: 0.224, tested: 1250, up: 1.022, reg: 1.164, up+: 0.320, reg+: 0.680, same: 0.000, score: 0.587, median_score: 0.359
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.277, std: 0.173, tested: 1775, up: 1.017, reg: 1.149, up+: 0.256, reg+: 0.730, same: 0.014, score: 0.450, median_score: 0.263
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.478, std: 0.300, tested: 625, up: 1.030, reg: 1.018, up+: 0.414, reg+: 0.586, same: 0.000, score: 0.778, median_score: 0.453
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'} $0.028 \pm 0.016$ 0.044
