{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.118, std: 0.112, tested: 10000, up: 0.212, reg: 0.202, up+: 0.648, reg+: 0.342, same: 0.010, score: 0.230, median_score: 0.088
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.123, std: 0.209, tested: 5000, up: 0.226, reg: 0.191, up+: 0.584, reg+: 0.416, same: 0.000, score: 0.332, median_score: 0.065
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.105, std: 0.106, tested: 7100, up: 0.206, reg: 0.196, up+: 0.629, reg+: 0.357, same: 0.014, score: 0.211, median_score: 0.075
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.164, std: 0.238, tested: 2500, up: 0.224, reg: 0.153, up+: 0.566, reg+: 0.434, same: 0.000, score: 0.402, median_score: 0.077
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.078, std: 0.041, tested: 5000, up: 0.212, reg: 0.141, up+: 0.863, reg+: 0.127, same: 0.010, score: 0.119, median_score: 0.085
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.174, std: 0.204, tested: 2500, up: 0.226, reg: 0.109, up+: 0.828, reg+: 0.172, same: 0.000, score: 0.378, median_score: 0.127
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.116, std: 0.072, tested: 3550, up: 0.205, reg: 0.124, up+: 0.832, reg+: 0.154, same: 0.014, score: 0.187, median_score: 0.109
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.261, std: 0.241, tested: 1250, up: 0.224, reg: 0.067, up+: 0.776, reg+: 0.224, same: 0.000, score: 0.502, median_score: 0.208
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.100, std: 0.085, tested: 7100, up: 0.213, reg: 0.175, up+: 0.729, reg+: 0.261, same: 0.010, score: 0.185, median_score: 0.084
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.133, std: 0.207, tested: 3550, up: 0.227, reg: 0.154, up+: 0.751, reg+: 0.249, same: 0.000, score: 0.340, median_score: 0.083
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.098, std: 0.088, tested: 5041, up: 0.207, reg: 0.164, up+: 0.757, reg+: 0.229, same: 0.014, score: 0.185, median_score: 0.079
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.205, std: 0.243, tested: 1775, up: 0.226, reg: 0.111, up+: 0.704, reg+: 0.296, same: 0.000, score: 0.448, median_score: 0.141
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.203, std: 0.121, tested: 2500, up: 0.210, reg: 0.059, up+: 0.820, reg+: 0.170, same: 0.010, score: 0.323, median_score: 0.187
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.313, std: 0.210, tested: 1250, up: 0.224, reg: 0.019, up+: 0.771, reg+: 0.229, same: 0.000, score: 0.522, median_score: 0.294
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.244, std: 0.138, tested: 1775, up: 0.204, reg: 0.037, up+: 0.779, reg+: 0.207, same: 0.014, score: 0.382, median_score: 0.231
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.379, std: 0.227, tested: 625, up: 0.222, reg: 0.010, up+: 0.709, reg+: 0.291, same: 0.000, score: 0.606, median_score: 0.361
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'} $0.078 \pm 0.041$ 0.119
