{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.144, std: 0.145, tested: 10000, up: 0.814, reg: 0.774, up+: 0.657, reg+: 0.333, same: 0.010, score: 0.288, median_score: 0.096
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.202, std: 0.187, tested: 5000, up: 0.819, reg: 0.810, up+: 0.415, reg+: 0.585, same: 0.000, score: 0.390, median_score: 0.179
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.144, std: 0.164, tested: 7100, up: 0.814, reg: 0.808, up+: 0.381, reg+: 0.605, same: 0.014, score: 0.308, median_score: 0.090
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.307, std: 0.250, tested: 2500, up: 0.825, reg: 0.688, up+: 0.593, reg+: 0.407, same: 0.000, score: 0.557, median_score: 0.242
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.034, std: 0.016, tested: 5000, up: 0.812, reg: 0.778, up+: 0.990, reg+: 0.000, same: 0.010, score: 0.050, median_score: 0.034
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.168, std: 0.142, tested: 2500, up: 0.817, reg: 0.787, up+: 0.524, reg+: 0.476, same: 0.000, score: 0.310, median_score: 0.126
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.086, std: 0.086, tested: 3550, up: 0.812, reg: 0.801, up+: 0.477, reg+: 0.509, same: 0.014, score: 0.172, median_score: 0.059
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.298, std: 0.220, tested: 1250, up: 0.823, reg: 0.655, up+: 0.706, reg+: 0.294, same: 0.000, score: 0.518, median_score: 0.250
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.107, std: 0.121, tested: 7100, up: 0.812, reg: 0.768, up+: 0.685, reg+: 0.305, same: 0.010, score: 0.228, median_score: 0.067
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.181, std: 0.179, tested: 3550, up: 0.817, reg: 0.786, up+: 0.472, reg+: 0.528, same: 0.000, score: 0.360, median_score: 0.139
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.117, std: 0.146, tested: 5041, up: 0.812, reg: 0.795, up+: 0.406, reg+: 0.580, same: 0.014, score: 0.263, median_score: 0.071
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.297, std: 0.243, tested: 1775, up: 0.823, reg: 0.652, up+: 0.681, reg+: 0.319, same: 0.000, score: 0.540, median_score: 0.239
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.139, std: 0.168, tested: 2500, up: 0.816, reg: 0.876, up+: 0.384, reg+: 0.606, same: 0.010, score: 0.307, median_score: 0.079
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.258, std: 0.162, tested: 1250, up: 0.820, reg: 0.912, up+: 0.367, reg+: 0.633, same: 0.000, score: 0.420, median_score: 0.230
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.198, std: 0.150, tested: 1775, up: 0.816, reg: 0.915, up+: 0.259, reg+: 0.727, same: 0.014, score: 0.347, median_score: 0.162
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.328, std: 0.203, tested: 625, up: 0.826, reg: 0.771, up+: 0.598, reg+: 0.402, same: 0.000, score: 0.531, median_score: 0.300
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'} $0.034 \pm 0.016$ 0.050
