{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.121, std: 0.102, tested: 10000, up: 0.057, reg: 0.090, up+: 0.411, reg+: 0.579, same: 0.010, score: 0.223, median_score: 0.097
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.140, std: 0.208, tested: 5000, up: 0.072, reg: 0.017, up+: 0.634, reg+: 0.366, same: 0.000, score: 0.347, median_score: 0.085
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.109, std: 0.092, tested: 7100, up: 0.051, reg: 0.056, up+: 0.485, reg+: 0.501, same: 0.014, score: 0.201, median_score: 0.089
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.247, std: 0.214, tested: 2500, up: 0.068, reg: -0.071, up+: 0.771, reg+: 0.229, same: 0.000, score: 0.460, median_score: 0.212
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.060, std: 0.037, tested: 5000, up: 0.056, reg: 0.001, up+: 0.870, reg+: 0.120, same: 0.010, score: 0.097, median_score: 0.060
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.220, std: 0.197, tested: 2500, up: 0.070, reg: -0.085, up+: 0.790, reg+: 0.210, same: 0.000, score: 0.417, median_score: 0.207
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.130, std: 0.071, tested: 3550, up: 0.049, reg: -0.045, up+: 0.812, reg+: 0.174, same: 0.014, score: 0.201, median_score: 0.136
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.333, std: 0.223, tested: 1250, up: 0.067, reg: -0.133, up+: 0.724, reg+: 0.276, same: 0.000, score: 0.555, median_score: 0.337
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.085, std: 0.078, tested: 7100, up: 0.056, reg: 0.047, up+: 0.543, reg+: 0.447, same: 0.010, score: 0.163, median_score: 0.069
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.174, std: 0.199, tested: 3550, up: 0.070, reg: -0.038, up+: 0.789, reg+: 0.211, same: 0.000, score: 0.373, median_score: 0.133
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.099, std: 0.079, tested: 5041, up: 0.049, reg: 0.005, up+: 0.704, reg+: 0.282, same: 0.014, score: 0.178, median_score: 0.084
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.296, std: 0.215, tested: 1775, up: 0.067, reg: -0.112, up+: 0.765, reg+: 0.235, same: 0.000, score: 0.511, median_score: 0.288
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.169, std: 0.104, tested: 2500, up: 0.050, reg: -0.051, up+: 0.738, reg+: 0.252, same: 0.010, score: 0.273, median_score: 0.171
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.287, std: 0.224, tested: 1250, up: 0.064, reg: -0.098, up+: 0.710, reg+: 0.290, same: 0.000, score: 0.511, median_score: 0.247
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.216, std: 0.129, tested: 1775, up: 0.044, reg: -0.079, up+: 0.715, reg+: 0.271, same: 0.014, score: 0.345, median_score: 0.215
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.370, std: 0.255, tested: 625, up: 0.060, reg: -0.107, up+: 0.638, reg+: 0.362, same: 0.000, score: 0.625, median_score: 0.354
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'} $0.060 \pm 0.037$ 0.097
