{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.088, std: 0.121, tested: 40000, up: 1.047, reg: 1.006, up+: 0.856, reg+: 0.134, same: 0.010, score: 0.209, median_score: 0.046
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.273, std: 0.207, tested: 20000, up: 1.053, reg: 1.145, up+: 0.293, reg+: 0.707, same: 0.000, score: 0.480, median_score: 0.210
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.150, std: 0.152, tested: 28400, up: 1.046, reg: 1.096, up+: 0.255, reg+: 0.731, same: 0.014, score: 0.302, median_score: 0.091
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.449, std: 0.285, tested: 10000, up: 1.057, reg: 1.096, up+: 0.431, reg+: 0.569, same: 0.000, score: 0.735, median_score: 0.452
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.028, std: 0.018, tested: 20000, up: 1.046, reg: 1.019, up+: 0.990, reg+: 0.000, same: 0.010, score: 0.046, median_score: 0.027
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.273, std: 0.200, tested: 10000, up: 1.052, reg: 1.147, up+: 0.329, reg+: 0.671, same: 0.000, score: 0.473, median_score: 0.232
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.138, std: 0.128, tested: 14200, up: 1.046, reg: 1.105, up+: 0.260, reg+: 0.726, same: 0.014, score: 0.266, median_score: 0.095
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.442, std: 0.284, tested: 5000, up: 1.056, reg: 1.082, up+: 0.457, reg+: 0.543, same: 0.000, score: 0.726, median_score: 0.444
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.070, std: 0.098, tested: 28400, up: 1.046, reg: 1.009, up+: 0.862, reg+: 0.128, same: 0.010, score: 0.169, median_score: 0.041
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.274, std: 0.206, tested: 14200, up: 1.052, reg: 1.142, up+: 0.313, reg+: 0.687, same: 0.000, score: 0.480, median_score: 0.219
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.145, std: 0.144, tested: 20164, up: 1.046, reg: 1.096, up+: 0.242, reg+: 0.744, same: 0.014, score: 0.290, median_score: 0.092
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.448, std: 0.287, tested: 7100, up: 1.056, reg: 1.083, up+: 0.457, reg+: 0.543, same: 0.000, score: 0.735, median_score: 0.452
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.093, std: 0.137, tested: 10000, up: 1.047, reg: 1.064, up+: 0.646, reg+: 0.344, same: 0.010, score: 0.230, median_score: 0.041
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.314, std: 0.207, tested: 5000, up: 1.052, reg: 1.194, up+: 0.290, reg+: 0.710, same: 0.000, score: 0.521, median_score: 0.267
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.199, std: 0.157, tested: 7100, up: 1.046, reg: 1.153, up+: 0.207, reg+: 0.779, same: 0.014, score: 0.356, median_score: 0.156
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.447, std: 0.275, tested: 2500, up: 1.056, reg: 1.115, up+: 0.423, reg+: 0.577, same: 0.000, score: 0.722, median_score: 0.439
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'} $0.028 \pm 0.018$ 0.046
