{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.112, std: 0.084, tested: 40000, up: 0.204, reg: 0.157, up+: 0.758, reg+: 0.232, same: 0.010, score: 0.197, median_score: 0.090
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.139, std: 0.220, tested: 20000, up: 0.219, reg: 0.155, up+: 0.605, reg+: 0.395, same: 0.000, score: 0.359, median_score: 0.081
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.108, std: 0.095, tested: 28400, up: 0.198, reg: 0.152, up+: 0.675, reg+: 0.311, same: 0.014, score: 0.203, median_score: 0.085
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.190, std: 0.272, tested: 10000, up: 0.217, reg: 0.167, up+: 0.477, reg+: 0.522, same: 0.000, score: 0.462, median_score: 0.108
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.087, std: 0.049, tested: 20000, up: 0.203, reg: 0.120, up+: 0.928, reg+: 0.062, same: 0.010, score: 0.135, median_score: 0.084
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.172, std: 0.218, tested: 10000, up: 0.219, reg: 0.109, up+: 0.706, reg+: 0.294, same: 0.000, score: 0.389, median_score: 0.116
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.116, std: 0.082, tested: 14200, up: 0.197, reg: 0.109, up+: 0.807, reg+: 0.179, same: 0.014, score: 0.198, median_score: 0.100
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.235, std: 0.281, tested: 5000, up: 0.217, reg: 0.130, up+: 0.519, reg+: 0.481, same: 0.000, score: 0.516, median_score: 0.146
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.098, std: 0.068, tested: 28400, up: 0.204, reg: 0.140, up+: 0.811, reg+: 0.179, same: 0.010, score: 0.167, median_score: 0.086
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.150, std: 0.217, tested: 14200, up: 0.219, reg: 0.132, up+: 0.685, reg+: 0.315, same: 0.000, score: 0.367, median_score: 0.095
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.104, std: 0.088, tested: 20164, up: 0.197, reg: 0.131, up+: 0.762, reg+: 0.224, same: 0.014, score: 0.191, median_score: 0.084
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.212, std: 0.276, tested: 7100, up: 0.217, reg: 0.146, up+: 0.511, reg+: 0.489, same: 0.000, score: 0.488, median_score: 0.127
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.145, std: 0.097, tested: 10000, up: 0.202, reg: 0.087, up+: 0.881, reg+: 0.109, same: 0.010, score: 0.243, median_score: 0.121
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.223, std: 0.236, tested: 5000, up: 0.217, reg: 0.084, up+: 0.675, reg+: 0.325, same: 0.000, score: 0.459, median_score: 0.164
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.170, std: 0.129, tested: 7100, up: 0.195, reg: 0.079, up+: 0.771, reg+: 0.215, same: 0.014, score: 0.299, median_score: 0.138
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.274, std: 0.295, tested: 2500, up: 0.215, reg: 0.122, up+: 0.484, reg+: 0.516, same: 0.000, score: 0.568, median_score: 0.180
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'} $0.087 \pm 0.049$ 0.135
