{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.019, std: 0.033, tested: 10000, up: 1.435, reg: 1.422, up+: 0.965, reg+: 0.025, same: 0.010, score: 0.052, median_score: 0.010
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.407, std: 0.250, tested: 5000, up: 1.444, reg: 1.621, up+: 0.376, reg+: 0.624, same: 0.000, score: 0.656, median_score: 0.385
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.227, std: 0.160, tested: 7100, up: 1.436, reg: 1.565, up+: 0.212, reg+: 0.774, same: 0.014, score: 0.387, median_score: 0.244
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.511, std: 0.337, tested: 2500, up: 1.444, reg: 1.449, up+: 0.515, reg+: 0.485, same: 0.000, score: 0.848, median_score: 0.501
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.014, std: 0.011, tested: 5000, up: 1.435, reg: 1.421, up+: 0.990, reg+: 0.000, same: 0.010, score: 0.025, median_score: 0.009
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.404, std: 0.251, tested: 2500, up: 1.444, reg: 1.620, up+: 0.375, reg+: 0.625, same: 0.000, score: 0.654, median_score: 0.372
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.224, std: 0.160, tested: 3550, up: 1.436, reg: 1.564, up+: 0.210, reg+: 0.776, same: 0.014, score: 0.384, median_score: 0.190
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.511, std: 0.336, tested: 1250, up: 1.444, reg: 1.449, up+: 0.514, reg+: 0.486, same: 0.000, score: 0.847, median_score: 0.501
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.019, std: 0.033, tested: 7100, up: 1.435, reg: 1.421, up+: 0.973, reg+: 0.017, same: 0.010, score: 0.051, median_score: 0.010
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.406, std: 0.250, tested: 3550, up: 1.444, reg: 1.620, up+: 0.377, reg+: 0.623, same: 0.000, score: 0.655, median_score: 0.372
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.227, std: 0.160, tested: 5041, up: 1.436, reg: 1.564, up+: 0.213, reg+: 0.773, same: 0.014, score: 0.386, median_score: 0.244
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.511, std: 0.336, tested: 1775, up: 1.445, reg: 1.449, up+: 0.517, reg+: 0.483, same: 0.000, score: 0.847, median_score: 0.501
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.025, std: 0.049, tested: 2500, up: 1.432, reg: 1.418, up+: 0.936, reg+: 0.054, same: 0.010, score: 0.075, median_score: 0.013
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.403, std: 0.250, tested: 1250, up: 1.441, reg: 1.618, up+: 0.372, reg+: 0.628, same: 0.000, score: 0.653, median_score: 0.372
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.227, std: 0.158, tested: 1775, up: 1.433, reg: 1.561, up+: 0.214, reg+: 0.772, same: 0.014, score: 0.385, median_score: 0.244
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.508, std: 0.337, tested: 625, up: 1.441, reg: 1.450, up+: 0.506, reg+: 0.494, same: 0.000, score: 0.845, median_score: 0.501
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'} $0.014 \pm 0.011$ 0.025
