{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.127, std: 0.062, tested: 10000, up: 0.169, reg: 0.042, up+: 0.986, reg+: 0.004, same: 0.010, score: 0.188, median_score: 0.127
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.210, std: 0.203, tested: 5000, up: 0.185, reg: 0.077, up+: 0.583, reg+: 0.417, same: 0.000, score: 0.413, median_score: 0.166
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.155, std: 0.106, tested: 7100, up: 0.165, reg: 0.043, up+: 0.684, reg+: 0.302, same: 0.014, score: 0.261, median_score: 0.150
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.226, std: 0.312, tested: 2500, up: 0.187, reg: 0.203, up+: 0.406, reg+: 0.594, same: 0.000, score: 0.538, median_score: 0.150
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.126, std: 0.060, tested: 5000, up: 0.169, reg: 0.043, up+: 0.990, reg+: 0.000, same: 0.010, score: 0.186, median_score: 0.127
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.209, std: 0.204, tested: 2500, up: 0.185, reg: 0.077, up+: 0.583, reg+: 0.417, same: 0.000, score: 0.412, median_score: 0.157
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.154, std: 0.106, tested: 3550, up: 0.165, reg: 0.044, up+: 0.684, reg+: 0.302, same: 0.014, score: 0.260, median_score: 0.150
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.226, std: 0.312, tested: 1250, up: 0.187, reg: 0.203, up+: 0.406, reg+: 0.594, same: 0.000, score: 0.538, median_score: 0.150
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.126, std: 0.061, tested: 7100, up: 0.169, reg: 0.043, up+: 0.985, reg+: 0.005, same: 0.010, score: 0.188, median_score: 0.127
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.210, std: 0.203, tested: 3550, up: 0.185, reg: 0.077, up+: 0.581, reg+: 0.419, same: 0.000, score: 0.413, median_score: 0.166
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.155, std: 0.106, tested: 5041, up: 0.164, reg: 0.043, up+: 0.684, reg+: 0.302, same: 0.014, score: 0.261, median_score: 0.150
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.226, std: 0.312, tested: 1775, up: 0.186, reg: 0.203, up+: 0.406, reg+: 0.594, same: 0.000, score: 0.538, median_score: 0.150
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.127, std: 0.063, tested: 2500, up: 0.170, reg: 0.044, up+: 0.975, reg+: 0.015, same: 0.010, score: 0.189, median_score: 0.127
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.208, std: 0.203, tested: 1250, up: 0.186, reg: 0.079, up+: 0.585, reg+: 0.415, same: 0.000, score: 0.411, median_score: 0.157
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.154, std: 0.105, tested: 1775, up: 0.165, reg: 0.045, up+: 0.685, reg+: 0.301, same: 0.014, score: 0.259, median_score: 0.150
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.225, std: 0.312, tested: 625, up: 0.187, reg: 0.203, up+: 0.406, reg+: 0.594, same: 0.000, score: 0.537, median_score: 0.150
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'} $0.126 \pm 0.060$ 0.186
