{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.036, std: 0.023, tested: 10000, up: 0.921, reg: 0.886, up+: 0.979, reg+: 0.011, same: 0.010, score: 0.059, median_score: 0.037
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.233, std: 0.110, tested: 5000, up: 0.926, reg: 1.079, up+: 0.100, reg+: 0.900, same: 0.000, score: 0.342, median_score: 0.204
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.097, std: 0.062, tested: 7100, up: 0.919, reg: 0.985, up+: 0.098, reg+: 0.888, same: 0.014, score: 0.158, median_score: 0.079
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.476, std: 0.194, tested: 2500, up: 0.927, reg: 1.216, up+: 0.194, reg+: 0.806, same: 0.000, score: 0.670, median_score: 0.495
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.035, std: 0.019, tested: 5000, up: 0.921, reg: 0.887, up+: 0.990, reg+: 0.000, same: 0.010, score: 0.054, median_score: 0.036
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.232, std: 0.110, tested: 2500, up: 0.926, reg: 1.080, up+: 0.100, reg+: 0.900, same: 0.000, score: 0.342, median_score: 0.204
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.096, std: 0.061, tested: 3550, up: 0.919, reg: 0.986, up+: 0.101, reg+: 0.885, same: 0.014, score: 0.157, median_score: 0.079
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.475, std: 0.194, tested: 1250, up: 0.927, reg: 1.217, up+: 0.187, reg+: 0.813, same: 0.000, score: 0.670, median_score: 0.495
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.036, std: 0.022, tested: 7100, up: 0.921, reg: 0.886, up+: 0.981, reg+: 0.009, same: 0.010, score: 0.057, median_score: 0.037
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.232, std: 0.110, tested: 3550, up: 0.926, reg: 1.080, up+: 0.100, reg+: 0.900, same: 0.000, score: 0.342, median_score: 0.204
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.096, std: 0.061, tested: 5041, up: 0.919, reg: 0.985, up+: 0.099, reg+: 0.887, same: 0.014, score: 0.158, median_score: 0.079
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.476, std: 0.194, tested: 1775, up: 0.927, reg: 1.216, up+: 0.192, reg+: 0.808, same: 0.000, score: 0.670, median_score: 0.495
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.037, std: 0.025, tested: 2500, up: 0.921, reg: 0.888, up+: 0.974, reg+: 0.016, same: 0.010, score: 0.062, median_score: 0.038
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.230, std: 0.109, tested: 1250, up: 0.926, reg: 1.082, up+: 0.101, reg+: 0.899, same: 0.000, score: 0.340, median_score: 0.204
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.096, std: 0.058, tested: 1775, up: 0.919, reg: 0.987, up+: 0.100, reg+: 0.886, same: 0.014, score: 0.154, median_score: 0.079
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.473, std: 0.196, tested: 625, up: 0.927, reg: 1.220, up+: 0.174, reg+: 0.826, same: 0.000, score: 0.669, median_score: 0.495
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'} $0.035 \pm 0.019$ 0.054
