{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.082, std: 0.023, tested: 10000, up: 0.377, reg: 0.295, up+: 0.987, reg+: 0.003, same: 0.010, score: 0.105, median_score: 0.085
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.084, std: 0.237, tested: 5000, up: 0.393, reg: 0.335, up+: 0.619, reg+: 0.381, same: 0.000, score: 0.321, median_score: 0.045
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.063, std: 0.036, tested: 7100, up: 0.369, reg: 0.313, up+: 0.902, reg+: 0.084, same: 0.014, score: 0.099, median_score: 0.072
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.121, std: 0.296, tested: 2500, up: 0.389, reg: 0.383, up+: 0.166, reg+: 0.834, same: 0.000, score: 0.417, median_score: 0.059
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.083, std: 0.022, tested: 5000, up: 0.377, reg: 0.295, up+: 0.990, reg+: 0.000, same: 0.010, score: 0.105, median_score: 0.084
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.084, std: 0.237, tested: 2500, up: 0.393, reg: 0.335, up+: 0.624, reg+: 0.376, same: 0.000, score: 0.322, median_score: 0.045
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.063, std: 0.036, tested: 3550, up: 0.369, reg: 0.313, up+: 0.901, reg+: 0.085, same: 0.014, score: 0.099, median_score: 0.072
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.121, std: 0.296, tested: 1250, up: 0.389, reg: 0.382, up+: 0.171, reg+: 0.829, same: 0.000, score: 0.417, median_score: 0.059
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.082, std: 0.023, tested: 7100, up: 0.377, reg: 0.295, up+: 0.988, reg+: 0.002, same: 0.010, score: 0.105, median_score: 0.085
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.084, std: 0.237, tested: 3550, up: 0.393, reg: 0.335, up+: 0.620, reg+: 0.380, same: 0.000, score: 0.322, median_score: 0.045
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.063, std: 0.036, tested: 5041, up: 0.369, reg: 0.313, up+: 0.902, reg+: 0.084, same: 0.014, score: 0.099, median_score: 0.072
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.121, std: 0.296, tested: 1775, up: 0.389, reg: 0.383, up+: 0.168, reg+: 0.832, same: 0.000, score: 0.417, median_score: 0.059
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.083, std: 0.022, tested: 2500, up: 0.377, reg: 0.294, up+: 0.989, reg+: 0.001, same: 0.010, score: 0.105, median_score: 0.086
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.085, std: 0.237, tested: 1250, up: 0.393, reg: 0.334, up+: 0.634, reg+: 0.366, same: 0.000, score: 0.322, median_score: 0.045
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.064, std: 0.036, tested: 1775, up: 0.369, reg: 0.312, up+: 0.905, reg+: 0.081, same: 0.014, score: 0.100, median_score: 0.074
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.120, std: 0.296, tested: 625, up: 0.389, reg: 0.380, up+: 0.181, reg+: 0.819, same: 0.000, score: 0.416, median_score: 0.056
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'} $0.063 \pm 0.036$ 0.099
