{'eps': 'none', 'min_samples': 'none'}, diff: 0.064, std: 0.200, tested: 10000, up: 0.044, reg: 0.030, up+: 0.163, reg+: 0.084, same: 0.753, score: 0.264, median_score: 0.000
{'eps': 'none', 'min_samples': 'linear_int'}, diff: 0.001, std: 0.008, tested: 5000, up: 0.044, reg: 0.044, up+: 0.114, reg+: 0.091, same: 0.795, score: 0.009, median_score: 0.000
{'eps': 'linear_float', 'min_samples': 'none'}, diff: 0.161, std: 0.333, tested: 5000, up: 0.023, reg: 0.061, up+: 0.268, reg+: 0.226, same: 0.506, score: 0.494, median_score: 0.000
{'eps': 'linear_float', 'min_samples': 'linear_int'}, diff: 0.184, std: 0.375, tested: 2500, up: 0.023, reg: 0.088, up+: 0.188, reg+: 0.223, same: 0.589, score: 0.559, median_score: 0.000
{'eps': 'none', 'min_samples': 'square_int'}, diff: 0.057, std: 0.201, tested: 2500, up: 0.043, reg: 0.052, up+: 0.143, reg+: 0.064, same: 0.793, score: 0.258, median_score: 0.000
{'eps': 'square_float', 'min_samples': 'none'}, diff: 0.253, std: 0.387, tested: 2500, up: -0.019, reg: 0.113, up+: 0.519, reg+: 0.366, same: 0.115, score: 0.640, median_score: 0.000
{'eps': 'square_float', 'min_samples': 'square_int'}, diff: 0.349, std: 0.492, tested: 625, up: -0.020, reg: 0.209, up+: 0.242, reg+: 0.456, same: 0.302, score: 0.841, median_score: 0.039
{'eps': 'none', 'min_samples': 'root_int'}, diff: 0.035, std: 0.129, tested: 7100, up: 0.043, reg: 0.037, up+: 0.159, reg+: 0.067, same: 0.774, score: 0.164, median_score: 0.000
{'eps': 'root_float', 'min_samples': 'none'}, diff: 0.122, std: 0.293, tested: 7100, up: 0.033, reg: 0.043, up+: 0.193, reg+: 0.155, same: 0.652, score: 0.415, median_score: 0.000
{'eps': 'root_float', 'min_samples': 'root_int'}, diff: 0.124, std: 0.301, tested: 5041, up: 0.033, reg: 0.053, up+: 0.165, reg+: 0.153, same: 0.682, score: 0.425, median_score: 0.000
{'eps': 'linear_float', 'min_samples': 'root_int'}, diff: 0.173, std: 0.353, tested: 3550, up: 0.022, reg: 0.075, up+: 0.224, reg+: 0.228, same: 0.549, score: 0.526, median_score: 0.000
{'eps': 'square_float', 'min_samples': 'root_int'}, diff: 0.288, std: 0.415, tested: 1775, up: -0.019, reg: 0.148, up+: 0.430, reg+: 0.424, same: 0.146, score: 0.703, median_score: 0.037
{'eps': 'linear_float', 'min_samples': 'square_int'}, diff: 0.185, std: 0.398, tested: 1250, up: 0.022, reg: 0.104, up+: 0.158, reg+: 0.190, same: 0.651, score: 0.583, median_score: 0.000
{'eps': 'root_float', 'min_samples': 'square_int'}, diff: 0.065, std: 0.211, tested: 1775, up: 0.033, reg: 0.074, up+: 0.121, reg+: 0.125, same: 0.754, score: 0.275, median_score: 0.000
{'eps': 'none', 'min_samples': 'linear_int'} $0.001 \pm 0.008$ 0.009
