{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.029, std: 0.023, tested: 30000, up: 0.861, reg: 0.839, up+: 0.816, reg+: 0.174, same: 0.010, score: 0.052, median_score: 0.025
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.128, std: 0.121, tested: 15000, up: 0.869, reg: 0.925, up+: 0.170, reg+: 0.830, same: 0.000, score: 0.250, median_score: 0.100
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.053, std: 0.054, tested: 21300, up: 0.860, reg: 0.883, up+: 0.218, reg+: 0.767, same: 0.014, score: 0.107, median_score: 0.038
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.280, std: 0.187, tested: 7500, up: 0.870, reg: 0.995, up+: 0.209, reg+: 0.791, same: 0.000, score: 0.467, median_score: 0.289
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.047, std: 0.043, tested: 15000, up: 0.852, reg: 0.849, up+: 0.415, reg+: 0.575, same: 0.010, score: 0.090, median_score: 0.035
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.119, std: 0.109, tested: 7500, up: 0.860, reg: 0.910, up+: 0.172, reg+: 0.828, same: 0.000, score: 0.228, median_score: 0.102
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.063, std: 0.052, tested: 10650, up: 0.851, reg: 0.882, up+: 0.186, reg+: 0.799, same: 0.014, score: 0.115, median_score: 0.058
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.242, std: 0.186, tested: 3750, up: 0.861, reg: 0.960, up+: 0.209, reg+: 0.791, same: 0.000, score: 0.428, median_score: 0.218
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.032, std: 0.032, tested: 4500, up: 0.807, reg: 0.795, up+: 0.567, reg+: 0.423, same: 0.010, score: 0.064, median_score: 0.022
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.121, std: 0.114, tested: 2250, up: 0.814, reg: 0.869, up+: 0.153, reg+: 0.847, same: 0.000, score: 0.235, median_score: 0.098
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.054, std: 0.050, tested: 3195, up: 0.806, reg: 0.833, up+: 0.136, reg+: 0.850, same: 0.014, score: 0.103, median_score: 0.046
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.261, std: 0.187, tested: 1125, up: 0.815, reg: 0.934, up+: 0.190, reg+: 0.810, same: 0.000, score: 0.448, median_score: 0.262
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.074, std: 0.051, tested: 7500, up: 0.833, reg: 0.857, up+: 0.291, reg+: 0.699, same: 0.010, score: 0.125, median_score: 0.069
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.130, std: 0.111, tested: 3750, up: 0.840, reg: 0.900, up+: 0.186, reg+: 0.814, same: 0.000, score: 0.241, median_score: 0.126
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.094, std: 0.063, tested: 5325, up: 0.832, reg: 0.884, up+: 0.233, reg+: 0.753, same: 0.014, score: 0.158, median_score: 0.096
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.216, std: 0.178, tested: 1875, up: 0.841, reg: 0.914, up+: 0.211, reg+: 0.789, same: 0.000, score: 0.394, median_score: 0.192
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'} $0.029 \pm 0.023$ 0.052
