{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.051, std: 0.032, tested: 30000, up: 0.208, reg: 0.159, up+: 0.936, reg+: 0.054, same: 0.010, score: 0.083, median_score: 0.048
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.085, std: 0.237, tested: 15000, up: 0.223, reg: 0.231, up+: 0.201, reg+: 0.799, same: 0.000, score: 0.322, median_score: 0.045
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.034, std: 0.033, tested: 21300, up: 0.199, reg: 0.194, up+: 0.577, reg+: 0.409, same: 0.014, score: 0.067, median_score: 0.026
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.191, std: 0.277, tested: 7500, up: 0.217, reg: 0.283, up+: 0.085, reg+: 0.915, same: 0.000, score: 0.469, median_score: 0.143
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.067, std: 0.039, tested: 15000, up: 0.199, reg: 0.135, up+: 0.943, reg+: 0.047, same: 0.010, score: 0.106, median_score: 0.065
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.072, std: 0.237, tested: 7500, up: 0.215, reg: 0.202, up+: 0.334, reg+: 0.666, same: 0.000, score: 0.309, median_score: 0.028
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.041, std: 0.036, tested: 10650, up: 0.191, reg: 0.168, up+: 0.761, reg+: 0.225, same: 0.014, score: 0.077, median_score: 0.034
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.168, std: 0.282, tested: 3750, up: 0.208, reg: 0.251, up+: 0.097, reg+: 0.903, same: 0.000, score: 0.450, median_score: 0.111
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.062, std: 0.039, tested: 4500, up: 0.164, reg: 0.107, up+: 0.939, reg+: 0.051, same: 0.010, score: 0.100, median_score: 0.059
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.079, std: 0.234, tested: 2250, up: 0.179, reg: 0.181, up+: 0.222, reg+: 0.778, same: 0.000, score: 0.313, median_score: 0.036
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.037, std: 0.036, tested: 3195, up: 0.155, reg: 0.143, up+: 0.670, reg+: 0.316, same: 0.014, score: 0.073, median_score: 0.027
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.189, std: 0.274, tested: 1125, up: 0.172, reg: 0.238, up+: 0.074, reg+: 0.926, same: 0.000, score: 0.462, median_score: 0.131
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.077, std: 0.047, tested: 7500, up: 0.182, reg: 0.110, up+: 0.936, reg+: 0.054, same: 0.010, score: 0.123, median_score: 0.073
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.073, std: 0.236, tested: 3750, up: 0.198, reg: 0.177, up+: 0.403, reg+: 0.597, same: 0.000, score: 0.308, median_score: 0.029
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.047, std: 0.041, tested: 5325, up: 0.174, reg: 0.146, up+: 0.730, reg+: 0.256, same: 0.014, score: 0.087, median_score: 0.036
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.149, std: 0.285, tested: 1875, up: 0.191, reg: 0.215, up+: 0.105, reg+: 0.895, same: 0.000, score: 0.434, median_score: 0.082
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'} $0.034 \pm 0.033$ 0.067
