{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.133, std: 0.099, tested: 30000, up: 0.842, reg: 0.747, up+: 0.914, reg+: 0.076, same: 0.010, score: 0.232, median_score: 0.129
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.171, std: 0.143, tested: 15000, up: 0.847, reg: 0.938, up+: 0.159, reg+: 0.841, same: 0.000, score: 0.314, median_score: 0.147
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.087, std: 0.105, tested: 21300, up: 0.840, reg: 0.845, up+: 0.498, reg+: 0.488, same: 0.014, score: 0.193, median_score: 0.063
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.404, std: 0.219, tested: 7500, up: 0.852, reg: 1.074, up+: 0.183, reg+: 0.817, same: 0.000, score: 0.623, median_score: 0.390
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.040, std: 0.025, tested: 15000, up: 0.841, reg: 0.804, up+: 0.962, reg+: 0.028, same: 0.010, score: 0.065, median_score: 0.040
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.216, std: 0.117, tested: 7500, up: 0.846, reg: 0.984, up+: 0.152, reg+: 0.848, same: 0.000, score: 0.334, median_score: 0.212
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.093, std: 0.065, tested: 10650, up: 0.839, reg: 0.897, up+: 0.115, reg+: 0.870, same: 0.014, score: 0.158, median_score: 0.083
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.436, std: 0.230, tested: 3750, up: 0.851, reg: 1.100, up+: 0.197, reg+: 0.803, same: 0.000, score: 0.666, median_score: 0.458
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.080, std: 0.071, tested: 21300, up: 0.842, reg: 0.784, up+: 0.923, reg+: 0.067, same: 0.010, score: 0.152, median_score: 0.069
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.202, std: 0.121, tested: 10650, up: 0.847, reg: 0.971, up+: 0.142, reg+: 0.858, same: 0.000, score: 0.323, median_score: 0.184
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.076, std: 0.090, tested: 15123, up: 0.840, reg: 0.880, up+: 0.171, reg+: 0.815, same: 0.014, score: 0.165, median_score: 0.056
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.424, std: 0.220, tested: 5325, up: 0.852, reg: 1.092, up+: 0.190, reg+: 0.810, same: 0.000, score: 0.645, median_score: 0.430
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.086, std: 0.140, tested: 7500, up: 0.846, reg: 0.798, up+: 0.615, reg+: 0.375, same: 0.010, score: 0.226, median_score: 0.041
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.272, std: 0.157, tested: 3750, up: 0.852, reg: 0.963, up+: 0.191, reg+: 0.809, same: 0.000, score: 0.429, median_score: 0.252
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.154, std: 0.141, tested: 5325, up: 0.844, reg: 0.883, up+: 0.169, reg+: 0.817, same: 0.014, score: 0.295, median_score: 0.123
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.493, std: 0.234, tested: 1875, up: 0.857, reg: 1.074, up+: 0.228, reg+: 0.772, same: 0.000, score: 0.727, median_score: 0.505
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'} $0.040 \pm 0.025$ 0.065
