{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.205, std: 0.130, tested: 30000, up: 0.215, reg: 0.055, up+: 0.910, reg+: 0.080, same: 0.010, score: 0.335, median_score: 0.227
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.082, std: 0.237, tested: 15000, up: 0.228, reg: 0.210, up+: 0.602, reg+: 0.398, same: 0.000, score: 0.319, median_score: 0.026
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.117, std: 0.103, tested: 21300, up: 0.206, reg: 0.140, up+: 0.860, reg+: 0.126, same: 0.014, score: 0.219, median_score: 0.112
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.200, std: 0.282, tested: 7500, up: 0.221, reg: 0.302, up+: 0.065, reg+: 0.935, same: 0.000, score: 0.482, median_score: 0.116
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.074, std: 0.030, tested: 15000, up: 0.213, reg: 0.144, up+: 0.949, reg+: 0.041, same: 0.010, score: 0.103, median_score: 0.072
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.125, std: 0.226, tested: 7500, up: 0.226, reg: 0.250, up+: 0.296, reg+: 0.704, same: 0.000, score: 0.351, median_score: 0.067
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.055, std: 0.047, tested: 10650, up: 0.204, reg: 0.205, up+: 0.528, reg+: 0.458, same: 0.014, score: 0.102, median_score: 0.047
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.230, std: 0.283, tested: 3750, up: 0.219, reg: 0.292, up+: 0.160, reg+: 0.840, same: 0.000, score: 0.513, median_score: 0.142
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.136, std: 0.090, tested: 21300, up: 0.213, reg: 0.105, up+: 0.917, reg+: 0.073, same: 0.010, score: 0.226, median_score: 0.129
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.096, std: 0.228, tested: 10650, up: 0.227, reg: 0.239, up+: 0.278, reg+: 0.722, same: 0.000, score: 0.323, median_score: 0.047
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.058, std: 0.073, tested: 15123, up: 0.205, reg: 0.180, up+: 0.850, reg+: 0.136, same: 0.014, score: 0.131, median_score: 0.044
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.214, std: 0.282, tested: 5325, up: 0.219, reg: 0.303, up+: 0.105, reg+: 0.895, same: 0.000, score: 0.496, median_score: 0.125
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.130, std: 0.164, tested: 7500, up: 0.216, reg: 0.163, up+: 0.639, reg+: 0.351, same: 0.010, score: 0.294, median_score: 0.081
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.200, std: 0.272, tested: 3750, up: 0.229, reg: 0.213, up+: 0.360, reg+: 0.640, same: 0.000, score: 0.472, median_score: 0.117
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.147, std: 0.179, tested: 5325, up: 0.207, reg: 0.192, up+: 0.510, reg+: 0.476, same: 0.014, score: 0.326, median_score: 0.087
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.283, std: 0.297, tested: 1875, up: 0.222, reg: 0.230, up+: 0.323, reg+: 0.677, same: 0.000, score: 0.580, median_score: 0.200
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'} $0.055 \pm 0.047$ 0.102
