{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.154, std: 0.145, tested: 10000up: 0.943, reg: 1.018, up+: 0.169, reg+: 0.821, same: 0.010, score: 0.299, median_score: 0.109
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.385, std: 0.208, tested: 5000up: 0.947, reg: 1.118, up+: 0.267, reg+: 0.733, same: 0.000, score: 0.593, median_score: 0.366
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.278, std: 0.161, tested: 7100up: 0.943, reg: 1.089, up+: 0.200, reg+: 0.786, same: 0.014, score: 0.439, median_score: 0.250
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.531, std: 0.299, tested: 2500up: 0.954, reg: 1.020, up+: 0.368, reg+: 0.632, same: 0.000, score: 0.830, median_score: 0.545
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.269, std: 0.174, tested: 5000up: 0.944, reg: 1.100, up+: 0.186, reg+: 0.804, same: 0.010, score: 0.443, median_score: 0.233
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.449, std: 0.259, tested: 2500up: 0.947, reg: 1.178, up+: 0.270, reg+: 0.730, same: 0.000, score: 0.708, median_score: 0.475
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.377, std: 0.206, tested: 3550up: 0.943, reg: 1.166, up+: 0.226, reg+: 0.760, same: 0.014, score: 0.583, median_score: 0.365
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.531, std: 0.306, tested: 1250up: 0.954, reg: 1.032, up+: 0.383, reg+: 0.617, same: 0.000, score: 0.837, median_score: 0.481
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.209, std: 0.165, tested: 7100up: 0.943, reg: 1.055, up+: 0.174, reg+: 0.816, same: 0.010, score: 0.374, median_score: 0.164
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.415, std: 0.234, tested: 3550up: 0.946, reg: 1.145, up+: 0.274, reg+: 0.726, same: 0.000, score: 0.649, median_score: 0.407
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.328, std: 0.182, tested: 5041up: 0.942, reg: 1.125, up+: 0.213, reg+: 0.773, same: 0.014, score: 0.510, median_score: 0.301
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.517, std: 0.302, tested: 1775up: 0.952, reg: 1.015, up+: 0.372, reg+: 0.628, same: 0.000, score: 0.819, median_score: 0.488
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.378, std: 0.190, tested: 2500up: 0.939, reg: 1.235, up+: 0.135, reg+: 0.855, same: 0.010, score: 0.569, median_score: 0.373
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.525, std: 0.255, tested: 1250up: 0.942, reg: 1.339, up+: 0.209, reg+: 0.791, same: 0.000, score: 0.780, median_score: 0.586
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.465, std: 0.229, tested: 1775up: 0.938, reg: 1.315, up+: 0.150, reg+: 0.835, same: 0.014, score: 0.694, median_score: 0.502
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.585, std: 0.290, tested: 625up: 0.950, reg: 1.238, up+: 0.320, reg+: 0.680, same: 0.000, score: 0.876, median_score: 0.632
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'} $0.154 \pm 0.145$ 0.299
