{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.118, std: 0.112, tested: 10000up: 0.202, reg: 0.212, up+: 0.342, reg+: 0.648, same: 0.010, score: 0.230, median_score: 0.088
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.215, std: 0.218, tested: 5000up: 0.215, reg: 0.142, up+: 0.528, reg+: 0.472, same: 0.000, score: 0.433, median_score: 0.142
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.146, std: 0.133, tested: 7100up: 0.195, reg: 0.175, up+: 0.430, reg+: 0.556, same: 0.014, score: 0.279, median_score: 0.104
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.291, std: 0.238, tested: 2500up: 0.212, reg: 0.074, up+: 0.632, reg+: 0.368, same: 0.000, score: 0.529, median_score: 0.240
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.187, std: 0.163, tested: 5000up: 0.201, reg: 0.126, up+: 0.602, reg+: 0.388, same: 0.010, score: 0.350, median_score: 0.129
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.301, std: 0.229, tested: 2500up: 0.214, reg: 0.042, up+: 0.766, reg+: 0.234, same: 0.000, score: 0.529, median_score: 0.261
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.230, std: 0.174, tested: 3550up: 0.194, reg: 0.080, up+: 0.681, reg+: 0.305, same: 0.014, score: 0.404, median_score: 0.209
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.361, std: 0.233, tested: 1250up: 0.211, reg: 0.014, up+: 0.750, reg+: 0.250, same: 0.000, score: 0.594, median_score: 0.337
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.153, std: 0.144, tested: 7100up: 0.203, reg: 0.166, up+: 0.488, reg+: 0.502, same: 0.010, score: 0.297, median_score: 0.100
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.259, std: 0.233, tested: 3550up: 0.216, reg: 0.081, up+: 0.669, reg+: 0.331, same: 0.000, score: 0.492, median_score: 0.206
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.189, std: 0.165, tested: 5041up: 0.196, reg: 0.121, up+: 0.564, reg+: 0.422, same: 0.014, score: 0.354, median_score: 0.133
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.334, std: 0.238, tested: 1775up: 0.213, reg: 0.020, up+: 0.755, reg+: 0.245, same: 0.000, score: 0.572, median_score: 0.293
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.230, std: 0.143, tested: 2500up: 0.202, reg: 0.113, up+: 0.734, reg+: 0.256, same: 0.010, score: 0.373, median_score: 0.232
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.296, std: 0.203, tested: 1250up: 0.216, reg: 0.093, up+: 0.733, reg+: 0.267, same: 0.000, score: 0.499, median_score: 0.271
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.264, std: 0.132, tested: 1775up: 0.195, reg: 0.088, up+: 0.735, reg+: 0.251, same: 0.014, score: 0.396, median_score: 0.261
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.270, std: 0.239, tested: 625up: 0.213, reg: 0.157, up+: 0.630, reg+: 0.370, same: 0.000, score: 0.510, median_score: 0.204
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'} $0.118 \pm 0.112$ 0.230
