{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.144, std: 0.145, tested: 10000up: 0.774, reg: 0.814, up+: 0.333, reg+: 0.657, same: 0.010, score: 0.288, median_score: 0.096
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.252, std: 0.174, tested: 5000up: 0.778, reg: 0.812, up+: 0.433, reg+: 0.567, same: 0.000, score: 0.426, median_score: 0.210
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.202, std: 0.148, tested: 7100up: 0.773, reg: 0.831, up+: 0.367, reg+: 0.619, same: 0.014, score: 0.350, median_score: 0.164
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.327, std: 0.228, tested: 2500up: 0.785, reg: 0.676, up+: 0.607, reg+: 0.393, same: 0.000, score: 0.556, median_score: 0.284
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.236, std: 0.213, tested: 5000up: 0.777, reg: 0.911, up+: 0.242, reg+: 0.748, same: 0.010, score: 0.449, median_score: 0.161
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.359, std: 0.224, tested: 2500up: 0.781, reg: 0.939, up+: 0.348, reg+: 0.652, same: 0.000, score: 0.583, median_score: 0.324
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.306, std: 0.210, tested: 3550up: 0.776, reg: 0.945, up+: 0.279, reg+: 0.706, same: 0.014, score: 0.516, median_score: 0.256
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.402, std: 0.251, tested: 1250up: 0.787, reg: 0.798, up+: 0.519, reg+: 0.481, same: 0.000, score: 0.653, median_score: 0.370
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.187, std: 0.180, tested: 7100up: 0.772, reg: 0.850, up+: 0.290, reg+: 0.700, same: 0.010, score: 0.367, median_score: 0.130
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.295, std: 0.202, tested: 3550up: 0.776, reg: 0.857, up+: 0.403, reg+: 0.597, same: 0.000, score: 0.498, median_score: 0.246
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.249, std: 0.182, tested: 5041up: 0.771, reg: 0.872, up+: 0.329, reg+: 0.657, same: 0.014, score: 0.430, median_score: 0.202
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.352, std: 0.242, tested: 1775up: 0.782, reg: 0.721, up+: 0.576, reg+: 0.424, same: 0.000, score: 0.594, median_score: 0.312
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.354, std: 0.224, tested: 2500up: 0.770, reg: 1.059, up+: 0.139, reg+: 0.851, same: 0.010, score: 0.578, median_score: 0.305
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.487, std: 0.236, tested: 1250up: 0.774, reg: 1.149, up+: 0.179, reg+: 0.821, same: 0.000, score: 0.723, median_score: 0.553
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.429, std: 0.219, tested: 1775up: 0.770, reg: 1.123, up+: 0.139, reg+: 0.847, same: 0.014, score: 0.648, median_score: 0.444
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.518, std: 0.255, tested: 625up: 0.781, reg: 1.046, up+: 0.283, reg+: 0.717, same: 0.000, score: 0.773, median_score: 0.497
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'} $0.144 \pm 0.145$ 0.288
