{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.121, std: 0.102, tested: 10000up: 0.090, reg: 0.057, up+: 0.579, reg+: 0.411, same: 0.010, score: 0.223, median_score: 0.097
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.260, std: 0.212, tested: 5000up: 0.104, reg: -0.062, up+: 0.762, reg+: 0.238, same: 0.000, score: 0.472, median_score: 0.238
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.171, std: 0.127, tested: 7100up: 0.084, reg: -0.007, up+: 0.700, reg+: 0.286, same: 0.014, score: 0.298, median_score: 0.150
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.377, std: 0.224, tested: 2500up: 0.101, reg: -0.128, up+: 0.732, reg+: 0.268, same: 0.000, score: 0.601, median_score: 0.374
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.200, std: 0.143, tested: 5000up: 0.088, reg: 0.007, up+: 0.701, reg+: 0.289, same: 0.010, score: 0.343, median_score: 0.172
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.338, std: 0.226, tested: 2500up: 0.102, reg: -0.073, up+: 0.718, reg+: 0.282, same: 0.000, score: 0.564, median_score: 0.323
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.258, std: 0.159, tested: 3550up: 0.082, reg: -0.041, up+: 0.726, reg+: 0.260, same: 0.014, score: 0.418, median_score: 0.234
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.416, std: 0.260, tested: 1250up: 0.099, reg: -0.098, up+: 0.682, reg+: 0.318, same: 0.000, score: 0.676, median_score: 0.447
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.167, std: 0.132, tested: 7100up: 0.092, reg: 0.017, up+: 0.684, reg+: 0.306, same: 0.010, score: 0.299, median_score: 0.131
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.318, std: 0.218, tested: 3550up: 0.105, reg: -0.089, up+: 0.745, reg+: 0.255, same: 0.000, score: 0.536, median_score: 0.289
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.230, std: 0.150, tested: 5041up: 0.086, reg: -0.044, up+: 0.744, reg+: 0.242, same: 0.014, score: 0.379, median_score: 0.210
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.407, std: 0.244, tested: 1775up: 0.102, reg: -0.130, up+: 0.703, reg+: 0.297, same: 0.000, score: 0.651, median_score: 0.431
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.236, std: 0.151, tested: 2500up: 0.090, reg: 0.043, up+: 0.652, reg+: 0.338, same: 0.010, score: 0.387, median_score: 0.216
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.325, std: 0.234, tested: 1250up: 0.103, reg: 0.028, up+: 0.657, reg+: 0.343, same: 0.000, score: 0.559, median_score: 0.268
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.274, std: 0.165, tested: 1775up: 0.084, reg: 0.026, up+: 0.665, reg+: 0.321, same: 0.014, score: 0.438, median_score: 0.257
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.386, std: 0.265, tested: 625up: 0.100, reg: 0.046, up+: 0.614, reg+: 0.386, same: 0.000, score: 0.651, median_score: 0.340
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'} $0.121 \pm 0.102$ 0.223
