{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.088, std: 0.121, tested: 40000up: 1.006, reg: 1.047, up+: 0.134, reg+: 0.856, same: 0.010, score: 0.209, median_score: 0.046
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.334, std: 0.207, tested: 20000up: 1.011, reg: 1.163, up+: 0.295, reg+: 0.705, same: 0.000, score: 0.541, median_score: 0.294
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.220, std: 0.148, tested: 28400up: 1.006, reg: 1.126, up+: 0.214, reg+: 0.772, same: 0.014, score: 0.368, median_score: 0.176
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.473, std: 0.286, tested: 10000up: 1.015, reg: 1.094, up+: 0.411, reg+: 0.589, same: 0.000, score: 0.759, median_score: 0.486
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.142, std: 0.179, tested: 20000up: 1.007, reg: 1.091, up+: 0.124, reg+: 0.866, same: 0.010, score: 0.321, median_score: 0.059
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.376, std: 0.230, tested: 10000up: 1.012, reg: 1.210, up+: 0.274, reg+: 0.726, same: 0.000, score: 0.607, median_score: 0.317
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.270, std: 0.190, tested: 14200up: 1.006, reg: 1.173, up+: 0.199, reg+: 0.786, same: 0.014, score: 0.460, median_score: 0.204
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.491, std: 0.284, tested: 5000up: 1.015, reg: 1.128, up+: 0.390, reg+: 0.610, same: 0.000, score: 0.776, median_score: 0.496
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.113, std: 0.151, tested: 28400up: 1.006, reg: 1.065, up+: 0.128, reg+: 0.862, same: 0.010, score: 0.264, median_score: 0.054
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.352, std: 0.218, tested: 14200up: 1.011, reg: 1.181, up+: 0.290, reg+: 0.710, same: 0.000, score: 0.571, median_score: 0.298
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.244, std: 0.167, tested: 20164up: 1.005, reg: 1.145, up+: 0.208, reg+: 0.778, same: 0.014, score: 0.411, median_score: 0.194
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.476, std: 0.286, tested: 7100up: 1.014, reg: 1.104, up+: 0.404, reg+: 0.596, same: 0.000, score: 0.761, median_score: 0.476
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.201, std: 0.224, tested: 10000up: 1.004, reg: 1.162, up+: 0.100, reg+: 0.890, same: 0.010, score: 0.424, median_score: 0.069
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.425, std: 0.242, tested: 5000up: 1.010, reg: 1.303, up+: 0.217, reg+: 0.783, same: 0.000, score: 0.668, median_score: 0.372
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.322, std: 0.222, tested: 7100up: 1.004, reg: 1.254, up+: 0.149, reg+: 0.837, same: 0.014, score: 0.544, median_score: 0.279
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.533, std: 0.278, tested: 2500up: 1.013, reg: 1.243, up+: 0.312, reg+: 0.688, same: 0.000, score: 0.811, median_score: 0.549
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'} $0.088 \pm 0.121$ 0.209
