{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.112, std: 0.084, tested: 40000up: 0.157, reg: 0.204, up+: 0.232, reg+: 0.758, same: 0.010, score: 0.197, median_score: 0.090
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.203, std: 0.217, tested: 20000up: 0.172, reg: 0.158, up+: 0.402, reg+: 0.598, same: 0.000, score: 0.420, median_score: 0.149
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.131, std: 0.104, tested: 28400up: 0.151, reg: 0.173, up+: 0.298, reg+: 0.688, same: 0.014, score: 0.235, median_score: 0.101
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.311, std: 0.259, tested: 10000up: 0.169, reg: 0.159, up+: 0.371, reg+: 0.629, same: 0.000, score: 0.570, median_score: 0.229
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.149, std: 0.123, tested: 20000up: 0.157, reg: 0.170, up+: 0.330, reg+: 0.660, same: 0.010, score: 0.272, median_score: 0.105
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.244, std: 0.233, tested: 10000up: 0.171, reg: 0.130, up+: 0.450, reg+: 0.550, same: 0.000, score: 0.477, median_score: 0.177
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.174, std: 0.143, tested: 14200up: 0.150, reg: 0.141, up+: 0.368, reg+: 0.618, same: 0.014, score: 0.318, median_score: 0.124
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.338, std: 0.270, tested: 5000up: 0.168, reg: 0.151, up+: 0.388, reg+: 0.612, same: 0.000, score: 0.607, median_score: 0.240
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.132, std: 0.108, tested: 28400up: 0.158, reg: 0.182, up+: 0.295, reg+: 0.695, same: 0.010, score: 0.241, median_score: 0.095
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.229, std: 0.228, tested: 14200up: 0.172, reg: 0.136, up+: 0.433, reg+: 0.567, same: 0.000, score: 0.457, median_score: 0.171
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.157, std: 0.130, tested: 20164up: 0.151, reg: 0.150, up+: 0.343, reg+: 0.643, same: 0.014, score: 0.287, median_score: 0.108
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.329, std: 0.266, tested: 7100up: 0.170, reg: 0.145, up+: 0.395, reg+: 0.605, same: 0.000, score: 0.595, median_score: 0.235
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.170, std: 0.128, tested: 10000up: 0.157, reg: 0.176, up+: 0.353, reg+: 0.637, same: 0.010, score: 0.297, median_score: 0.131
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.240, std: 0.227, tested: 5000up: 0.172, reg: 0.169, up+: 0.425, reg+: 0.575, same: 0.000, score: 0.468, median_score: 0.186
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.188, std: 0.139, tested: 7100up: 0.151, reg: 0.160, up+: 0.368, reg+: 0.617, same: 0.014, score: 0.327, median_score: 0.149
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.307, std: 0.271, tested: 2500up: 0.169, reg: 0.222, up+: 0.341, reg+: 0.659, same: 0.000, score: 0.578, median_score: 0.212
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'} $0.112 \pm 0.084$ 0.197
