{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.019, std: 0.033, tested: 10000up: 1.422, reg: 1.435, up+: 0.025, reg+: 0.965, same: 0.010, score: 0.052, median_score: 0.010
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.418, std: 0.261, tested: 5000up: 1.430, reg: 1.624, up+: 0.378, reg+: 0.622, same: 0.000, score: 0.678, median_score: 0.389
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.244, std: 0.168, tested: 7100up: 1.423, reg: 1.571, up+: 0.214, reg+: 0.772, same: 0.014, score: 0.412, median_score: 0.278
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.520, std: 0.341, tested: 2500up: 1.430, reg: 1.453, up+: 0.514, reg+: 0.486, same: 0.000, score: 0.861, median_score: 0.529
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.023, std: 0.044, tested: 5000up: 1.420, reg: 1.433, up+: 0.048, reg+: 0.942, same: 0.010, score: 0.067, median_score: 0.013
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.415, std: 0.261, tested: 2500up: 1.429, reg: 1.622, up+: 0.376, reg+: 0.624, same: 0.000, score: 0.676, median_score: 0.389
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.244, std: 0.167, tested: 3550up: 1.421, reg: 1.569, up+: 0.216, reg+: 0.770, same: 0.014, score: 0.411, median_score: 0.229
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.518, std: 0.341, tested: 1250up: 1.429, reg: 1.454, up+: 0.508, reg+: 0.492, same: 0.000, score: 0.859, median_score: 0.529
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.020, std: 0.034, tested: 7100up: 1.423, reg: 1.434, up+: 0.036, reg+: 0.954, same: 0.010, score: 0.054, median_score: 0.010
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.417, std: 0.261, tested: 3550up: 1.432, reg: 1.623, up+: 0.381, reg+: 0.619, same: 0.000, score: 0.677, median_score: 0.389
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.243, std: 0.168, tested: 5041up: 1.424, reg: 1.570, up+: 0.217, reg+: 0.769, same: 0.014, score: 0.411, median_score: 0.228
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.520, std: 0.340, tested: 1775up: 1.431, reg: 1.453, up+: 0.515, reg+: 0.485, same: 0.000, score: 0.860, median_score: 0.529
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.028, std: 0.051, tested: 2500up: 1.422, reg: 1.428, up+: 0.090, reg+: 0.900, same: 0.010, score: 0.078, median_score: 0.014
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.410, std: 0.261, tested: 1250up: 1.431, reg: 1.618, up+: 0.382, reg+: 0.618, same: 0.000, score: 0.671, median_score: 0.389
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.240, std: 0.165, tested: 1775up: 1.423, reg: 1.563, up+: 0.225, reg+: 0.761, same: 0.014, score: 0.406, median_score: 0.220
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.515, std: 0.340, tested: 625up: 1.431, reg: 1.455, up+: 0.506, reg+: 0.494, same: 0.000, score: 0.856, median_score: 0.509
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'} $0.019 \pm 0.033$ 0.052
