{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.127, std: 0.062, tested: 10000up: 0.042, reg: 0.169, up+: 0.004, reg+: 0.986, same: 0.010, score: 0.188, median_score: 0.127
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.179, std: 0.201, tested: 5000up: 0.057, reg: 0.151, up+: 0.295, reg+: 0.705, same: 0.000, score: 0.380, median_score: 0.157
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.109, std: 0.073, tested: 7100up: 0.037, reg: 0.139, up+: 0.043, reg+: 0.943, same: 0.014, score: 0.183, median_score: 0.090
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.324, std: 0.293, tested: 2500up: 0.059, reg: 0.253, up+: 0.080, reg+: 0.920, same: 0.000, score: 0.617, median_score: 0.216
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.128, std: 0.062, tested: 5000up: 0.043, reg: 0.170, up+: 0.008, reg+: 0.982, same: 0.010, score: 0.190, median_score: 0.130
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.180, std: 0.201, tested: 2500up: 0.058, reg: 0.153, up+: 0.289, reg+: 0.711, same: 0.000, score: 0.380, median_score: 0.157
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.111, std: 0.074, tested: 3550up: 0.037, reg: 0.141, up+: 0.044, reg+: 0.942, same: 0.014, score: 0.185, median_score: 0.090
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.324, std: 0.293, tested: 1250up: 0.059, reg: 0.253, up+: 0.080, reg+: 0.920, same: 0.000, score: 0.617, median_score: 0.221
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.127, std: 0.062, tested: 7100up: 0.042, reg: 0.169, up+: 0.002, reg+: 0.988, same: 0.010, score: 0.189, median_score: 0.127
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.180, std: 0.201, tested: 3550up: 0.057, reg: 0.151, up+: 0.293, reg+: 0.707, same: 0.000, score: 0.381, median_score: 0.157
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.111, std: 0.074, tested: 5041up: 0.036, reg: 0.140, up+: 0.043, reg+: 0.943, same: 0.014, score: 0.184, median_score: 0.090
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.325, std: 0.293, tested: 1775up: 0.058, reg: 0.253, up+: 0.079, reg+: 0.921, same: 0.000, score: 0.617, median_score: 0.216
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.131, std: 0.063, tested: 2500up: 0.042, reg: 0.173, up+: 0.005, reg+: 0.985, same: 0.010, score: 0.194, median_score: 0.132
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.183, std: 0.200, tested: 1250up: 0.057, reg: 0.156, up+: 0.279, reg+: 0.721, same: 0.000, score: 0.383, median_score: 0.171
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.115, std: 0.075, tested: 1775up: 0.036, reg: 0.145, up+: 0.043, reg+: 0.943, same: 0.014, score: 0.191, median_score: 0.093
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.326, std: 0.292, tested: 625up: 0.058, reg: 0.254, up+: 0.080, reg+: 0.920, same: 0.000, score: 0.618, median_score: 0.230
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'} $0.109 \pm 0.073$ 0.183
