{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.036, std: 0.023, tested: 10000up: 0.886, reg: 0.921, up+: 0.011, reg+: 0.979, same: 0.010, score: 0.059, median_score: 0.037
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.283, std: 0.103, tested: 5000up: 0.891, reg: 1.098, up+: 0.100, reg+: 0.900, same: 0.000, score: 0.387, median_score: 0.277
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.154, std: 0.055, tested: 7100up: 0.883, reg: 1.011, up+: 0.074, reg+: 0.912, same: 0.014, score: 0.209, median_score: 0.158
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.516, std: 0.199, tested: 2500up: 0.891, reg: 1.226, up+: 0.154, reg+: 0.846, same: 0.000, score: 0.715, median_score: 0.557
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.039, std: 0.028, tested: 5000up: 0.886, reg: 0.922, up+: 0.021, reg+: 0.969, same: 0.010, score: 0.067, median_score: 0.039
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.282, std: 0.104, tested: 2500up: 0.891, reg: 1.100, up+: 0.100, reg+: 0.900, same: 0.000, score: 0.386, median_score: 0.278
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.154, std: 0.053, tested: 3550up: 0.883, reg: 1.012, up+: 0.076, reg+: 0.910, same: 0.014, score: 0.207, median_score: 0.158
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.514, std: 0.200, tested: 1250up: 0.891, reg: 1.229, up+: 0.150, reg+: 0.850, same: 0.000, score: 0.714, median_score: 0.557
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.038, std: 0.025, tested: 7100up: 0.886, reg: 0.922, up+: 0.014, reg+: 0.976, same: 0.010, score: 0.063, median_score: 0.038
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.283, std: 0.104, tested: 3550up: 0.891, reg: 1.099, up+: 0.100, reg+: 0.900, same: 0.000, score: 0.386, median_score: 0.277
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.154, std: 0.054, tested: 5041up: 0.883, reg: 1.011, up+: 0.074, reg+: 0.912, same: 0.014, score: 0.208, median_score: 0.158
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.515, std: 0.200, tested: 1775up: 0.891, reg: 1.227, up+: 0.152, reg+: 0.848, same: 0.000, score: 0.715, median_score: 0.557
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.043, std: 0.033, tested: 2500up: 0.886, reg: 0.924, up+: 0.036, reg+: 0.954, same: 0.010, score: 0.076, median_score: 0.042
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.279, std: 0.105, tested: 1250up: 0.891, reg: 1.103, up+: 0.100, reg+: 0.900, same: 0.000, score: 0.384, median_score: 0.278
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.153, std: 0.049, tested: 1775up: 0.883, reg: 1.015, up+: 0.082, reg+: 0.904, same: 0.014, score: 0.203, median_score: 0.159
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.511, std: 0.202, tested: 625up: 0.891, reg: 1.234, up+: 0.138, reg+: 0.862, same: 0.000, score: 0.713, median_score: 0.557
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'} $0.036 \pm 0.023$ 0.059
