{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.082, std: 0.023, tested: 10000up: 0.295, reg: 0.377, up+: 0.003, reg+: 0.987, same: 0.010, score: 0.105, median_score: 0.085
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.158, std: 0.223, tested: 5000up: 0.310, reg: 0.400, up+: 0.023, reg+: 0.977, same: 0.000, score: 0.381, median_score: 0.125
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.099, std: 0.030, tested: 7100up: 0.287, reg: 0.385, up+: 0.017, reg+: 0.969, same: 0.014, score: 0.129, median_score: 0.097
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'}, diff: 0.253, std: 0.262, tested: 2500up: 0.305, reg: 0.436, up+: 0.040, reg+: 0.960, same: 0.000, score: 0.514, median_score: 0.209
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.082, std: 0.024, tested: 5000up: 0.295, reg: 0.377, up+: 0.010, reg+: 0.980, same: 0.010, score: 0.106, median_score: 0.085
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.157, std: 0.223, tested: 2500up: 0.310, reg: 0.399, up+: 0.026, reg+: 0.974, same: 0.000, score: 0.381, median_score: 0.125
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.099, std: 0.030, tested: 3550up: 0.287, reg: 0.384, up+: 0.022, reg+: 0.964, same: 0.014, score: 0.129, median_score: 0.097
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'linear_int', 'linkage': 'none'}, diff: 0.251, std: 0.262, tested: 1250up: 0.305, reg: 0.434, up+: 0.040, reg+: 0.960, same: 0.000, score: 0.513, median_score: 0.209
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.082, std: 0.023, tested: 7100up: 0.295, reg: 0.377, up+: 0.006, reg+: 0.984, same: 0.010, score: 0.106, median_score: 0.085
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.158, std: 0.223, tested: 3550up: 0.310, reg: 0.400, up+: 0.025, reg+: 0.975, same: 0.000, score: 0.381, median_score: 0.125
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.099, std: 0.030, tested: 5041up: 0.286, reg: 0.385, up+: 0.019, reg+: 0.967, same: 0.014, score: 0.129, median_score: 0.097
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'root_int', 'linkage': 'none'}, diff: 0.252, std: 0.262, tested: 1775up: 0.305, reg: 0.435, up+: 0.040, reg+: 0.960, same: 0.000, score: 0.514, median_score: 0.209
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.081, std: 0.025, tested: 2500up: 0.295, reg: 0.376, up+: 0.020, reg+: 0.970, same: 0.010, score: 0.107, median_score: 0.084
{'n_clusters': 'linear_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.156, std: 0.223, tested: 1250up: 0.310, reg: 0.398, up+: 0.033, reg+: 0.967, same: 0.000, score: 0.380, median_score: 0.122
{'n_clusters': 'root_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.098, std: 0.031, tested: 1775up: 0.287, reg: 0.383, up+: 0.030, reg+: 0.955, same: 0.014, score: 0.129, median_score: 0.097
{'n_clusters': 'square_int', 'connectivity': 'none', 'n_neighbors': 'square_int', 'linkage': 'none'}, diff: 0.248, std: 0.263, tested: 625up: 0.305, reg: 0.431, up+: 0.040, reg+: 0.960, same: 0.000, score: 0.511, median_score: 0.205
{'n_clusters': 'none', 'connectivity': 'none', 'n_neighbors': 'none', 'linkage': 'none'} $0.082 \pm 0.023$ 0.105
