{'eps': 'none', 'min_samples': 'none'}, diff: 0.064, std: 0.200, tested: 10000up: 0.030, reg: 0.044, up+: 0.084, reg+: 0.163, same: 0.753, score: 0.264, median_score: 0.000
{'eps': 'none', 'min_samples': 'linear_int'}, diff: 0.087, std: 0.261, tested: 5000up: 0.030, reg: 0.052, up+: 0.098, reg+: 0.150, same: 0.752, score: 0.348, median_score: 0.000
{'eps': 'linear_float', 'min_samples': 'none'}, diff: 0.163, std: 0.347, tested: 5000up: 0.010, reg: 0.087, up+: 0.073, reg+: 0.338, same: 0.589, score: 0.510, median_score: 0.000
{'eps': 'linear_float', 'min_samples': 'linear_int'}, diff: 0.130, std: 0.335, tested: 2500up: 0.010, reg: 0.105, up+: 0.042, reg+: 0.307, same: 0.651, score: 0.465, median_score: 0.000
{'eps': 'none', 'min_samples': 'square_int'}, diff: 0.100, std: 0.290, tested: 2500up: 0.029, reg: 0.064, up+: 0.099, reg+: 0.151, same: 0.750, score: 0.390, median_score: 0.000
{'eps': 'square_float', 'min_samples': 'none'}, diff: 0.303, std: 0.429, tested: 2500up: -0.030, reg: 0.174, up+: 0.113, reg+: 0.697, same: 0.190, score: 0.732, median_score: 0.044
{'eps': 'square_float', 'min_samples': 'square_int'}, diff: 0.375, std: 0.515, tested: 625up: -0.032, reg: 0.255, up+: 0.085, reg+: 0.533, same: 0.382, score: 0.890, median_score: 0.000
{'eps': 'none', 'min_samples': 'root_int'}, diff: 0.080, std: 0.242, tested: 7100up: 0.030, reg: 0.049, up+: 0.096, reg+: 0.152, same: 0.753, score: 0.322, median_score: 0.000
{'eps': 'root_float', 'min_samples': 'none'}, diff: 0.054, std: 0.184, tested: 7100up: 0.022, reg: 0.061, up+: 0.027, reg+: 0.262, same: 0.711, score: 0.238, median_score: 0.000
{'eps': 'root_float', 'min_samples': 'root_int'}, diff: 0.054, std: 0.179, tested: 5041up: 0.021, reg: 0.069, up+: 0.022, reg+: 0.243, same: 0.735, score: 0.233, median_score: 0.000
{'eps': 'linear_float', 'min_samples': 'root_int'}, diff: 0.151, std: 0.351, tested: 3550up: 0.010, reg: 0.098, up+: 0.067, reg+: 0.309, same: 0.624, score: 0.502, median_score: 0.000
{'eps': 'square_float', 'min_samples': 'root_int'}, diff: 0.324, std: 0.458, tested: 1775up: -0.031, reg: 0.196, up+: 0.112, reg+: 0.640, same: 0.248, score: 0.781, median_score: 0.040
{'eps': 'linear_float', 'min_samples': 'square_int'}, diff: 0.135, std: 0.327, tested: 1250up: 0.009, reg: 0.128, up+: 0.017, reg+: 0.292, same: 0.691, score: 0.463, median_score: 0.000
{'eps': 'root_float', 'min_samples': 'square_int'}, diff: 0.098, std: 0.283, tested: 1775up: 0.021, reg: 0.090, up+: 0.064, reg+: 0.192, same: 0.745, score: 0.380, median_score: 0.000
{'eps': 'root_float', 'min_samples': 'root_int'} $0.054 \pm 0.179$ 0.233
