{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.029, std: 0.023, tested: 30000up: 0.839, reg: 0.861, up+: 0.174, reg+: 0.816, same: 0.010, score: 0.052, median_score: 0.025
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.166, std: 0.123, tested: 15000up: 0.846, reg: 0.945, up+: 0.156, reg+: 0.844, same: 0.000, score: 0.289, median_score: 0.146
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.088, std: 0.063, tested: 21300up: 0.837, reg: 0.900, up+: 0.139, reg+: 0.847, same: 0.014, score: 0.150, median_score: 0.074
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.311, std: 0.184, tested: 7500up: 0.846, reg: 1.010, up+: 0.200, reg+: 0.800, same: 0.000, score: 0.494, median_score: 0.324
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.059, std: 0.042, tested: 15000up: 0.830, reg: 0.871, up+: 0.231, reg+: 0.759, same: 0.010, score: 0.100, median_score: 0.057
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.147, std: 0.113, tested: 7500up: 0.837, reg: 0.921, up+: 0.166, reg+: 0.834, same: 0.000, score: 0.260, median_score: 0.130
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.091, std: 0.052, tested: 10650up: 0.829, reg: 0.894, up+: 0.135, reg+: 0.851, same: 0.014, score: 0.143, median_score: 0.092
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.273, std: 0.185, tested: 3750up: 0.837, reg: 0.975, up+: 0.203, reg+: 0.797, same: 0.000, score: 0.457, median_score: 0.267
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.036, std: 0.028, tested: 4500up: 0.787, reg: 0.813, up+: 0.206, reg+: 0.784, same: 0.010, score: 0.064, median_score: 0.031
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.152, std: 0.120, tested: 2250up: 0.793, reg: 0.883, up+: 0.199, reg+: 0.801, same: 0.000, score: 0.273, median_score: 0.132
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.083, std: 0.056, tested: 3195up: 0.785, reg: 0.845, up+: 0.164, reg+: 0.822, same: 0.014, score: 0.139, median_score: 0.079
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.289, std: 0.188, tested: 1125up: 0.794, reg: 0.947, up+: 0.230, reg+: 0.770, same: 0.000, score: 0.477, median_score: 0.305
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.095, std: 0.055, tested: 7500up: 0.813, reg: 0.875, up+: 0.261, reg+: 0.729, same: 0.010, score: 0.151, median_score: 0.099
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.148, std: 0.109, tested: 3750up: 0.820, reg: 0.902, up+: 0.195, reg+: 0.805, same: 0.000, score: 0.257, median_score: 0.147
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.109, std: 0.066, tested: 5325up: 0.812, reg: 0.889, up+: 0.176, reg+: 0.810, same: 0.014, score: 0.175, median_score: 0.111
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.243, std: 0.177, tested: 1875up: 0.820, reg: 0.926, up+: 0.232, reg+: 0.768, same: 0.000, score: 0.420, median_score: 0.224
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'} $0.029 \pm 0.023$ 0.052
