{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.051, std: 0.032, tested: 30000up: 0.159, reg: 0.208, up+: 0.054, reg+: 0.936, same: 0.010, score: 0.083, median_score: 0.048
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.163, std: 0.224, tested: 15000up: 0.175, reg: 0.269, up+: 0.035, reg+: 0.965, same: 0.000, score: 0.387, median_score: 0.133
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.091, std: 0.047, tested: 21300up: 0.151, reg: 0.238, up+: 0.036, reg+: 0.950, same: 0.014, score: 0.138, median_score: 0.090
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.270, std: 0.257, tested: 7500up: 0.168, reg: 0.318, up+: 0.047, reg+: 0.953, same: 0.000, score: 0.528, median_score: 0.232
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.045, std: 0.038, tested: 15000up: 0.151, reg: 0.185, up+: 0.217, reg+: 0.773, same: 0.010, score: 0.083, median_score: 0.036
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.138, std: 0.227, tested: 7500up: 0.167, reg: 0.235, up+: 0.051, reg+: 0.949, same: 0.000, score: 0.365, median_score: 0.108
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.073, std: 0.050, tested: 10650up: 0.143, reg: 0.210, up+: 0.079, reg+: 0.907, same: 0.014, score: 0.123, median_score: 0.071
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'linear_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.244, std: 0.262, tested: 3750up: 0.160, reg: 0.283, up+: 0.052, reg+: 0.948, same: 0.000, score: 0.506, median_score: 0.198
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.046, std: 0.038, tested: 4500up: 0.116, reg: 0.153, up+: 0.133, reg+: 0.857, same: 0.010, score: 0.084, median_score: 0.038
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.155, std: 0.223, tested: 2250up: 0.131, reg: 0.217, up+: 0.044, reg+: 0.956, same: 0.000, score: 0.378, median_score: 0.119
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.084, std: 0.055, tested: 3195up: 0.108, reg: 0.186, up+: 0.056, reg+: 0.930, same: 0.014, score: 0.138, median_score: 0.080
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'root_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.266, std: 0.256, tested: 1125up: 0.124, reg: 0.271, up+: 0.050, reg+: 0.950, same: 0.000, score: 0.521, median_score: 0.218
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.057, std: 0.042, tested: 7500up: 0.135, reg: 0.170, up+: 0.275, reg+: 0.715, same: 0.010, score: 0.099, median_score: 0.050
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.126, std: 0.228, tested: 3750up: 0.150, reg: 0.206, up+: 0.081, reg+: 0.919, same: 0.000, score: 0.355, median_score: 0.091
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.074, std: 0.056, tested: 5325up: 0.127, reg: 0.189, up+: 0.149, reg+: 0.837, same: 0.014, score: 0.130, median_score: 0.064
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'square_float', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.221, std: 0.267, tested: 1875up: 0.143, reg: 0.245, up+: 0.054, reg+: 0.946, same: 0.000, score: 0.488, median_score: 0.163
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'} $0.051 \pm 0.032$ 0.083
