{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.133, std: 0.099, tested: 30000up: 0.747, reg: 0.842, up+: 0.076, reg+: 0.914, same: 0.010, score: 0.232, median_score: 0.129
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.350, std: 0.140, tested: 15000up: 0.751, reg: 1.005, up+: 0.128, reg+: 0.872, same: 0.000, score: 0.490, median_score: 0.357
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.238, std: 0.109, tested: 21300up: 0.745, reg: 0.925, up+: 0.088, reg+: 0.898, same: 0.014, score: 0.346, median_score: 0.238
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.552, std: 0.226, tested: 7500up: 0.750, reg: 1.111, up+: 0.167, reg+: 0.833, same: 0.000, score: 0.778, median_score: 0.605
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.197, std: 0.170, tested: 15000up: 0.750, reg: 0.835, up+: 0.142, reg+: 0.848, same: 0.010, score: 0.367, median_score: 0.169
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.401, std: 0.173, tested: 7500up: 0.753, reg: 0.982, up+: 0.176, reg+: 0.824, same: 0.000, score: 0.575, median_score: 0.398
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.290, std: 0.168, tested: 10650up: 0.747, reg: 0.910, up+: 0.146, reg+: 0.839, same: 0.014, score: 0.458, median_score: 0.273
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.605, std: 0.240, tested: 3750up: 0.752, reg: 1.084, up+: 0.221, reg+: 0.779, same: 0.000, score: 0.845, median_score: 0.661
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.169, std: 0.141, tested: 21300up: 0.749, reg: 0.847, up+: 0.092, reg+: 0.898, same: 0.010, score: 0.310, median_score: 0.151
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.379, std: 0.159, tested: 10650up: 0.752, reg: 1.003, up+: 0.135, reg+: 0.865, same: 0.000, score: 0.538, median_score: 0.379
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.268, std: 0.143, tested: 15123up: 0.746, reg: 0.926, up+: 0.101, reg+: 0.885, same: 0.014, score: 0.410, median_score: 0.257
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.582, std: 0.232, tested: 5325up: 0.751, reg: 1.108, up+: 0.176, reg+: 0.824, same: 0.000, score: 0.814, median_score: 0.634
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.270, std: 0.246, tested: 7500up: 0.759, reg: 0.770, up+: 0.254, reg+: 0.736, same: 0.010, score: 0.516, median_score: 0.216
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.457, std: 0.231, tested: 3750up: 0.763, reg: 0.896, up+: 0.272, reg+: 0.728, same: 0.000, score: 0.688, median_score: 0.446
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.355, std: 0.237, tested: 5325up: 0.757, reg: 0.834, up+: 0.246, reg+: 0.740, same: 0.014, score: 0.592, median_score: 0.322
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.637, std: 0.285, tested: 1875up: 0.762, reg: 0.978, up+: 0.319, reg+: 0.681, same: 0.000, score: 0.922, median_score: 0.691
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'} $0.133 \pm 0.099$ 0.232
