{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.205, std: 0.130, tested: 30000up: 0.055, reg: 0.215, up+: 0.080, reg+: 0.910, same: 0.010, score: 0.335, median_score: 0.227
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.349, std: 0.257, tested: 15000up: 0.068, reg: 0.301, up+: 0.110, reg+: 0.890, same: 0.000, score: 0.606, median_score: 0.320
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.268, std: 0.162, tested: 21300up: 0.046, reg: 0.265, up+: 0.084, reg+: 0.902, same: 0.014, score: 0.430, median_score: 0.268
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'}, diff: 0.445, std: 0.291, tested: 7500up: 0.058, reg: 0.334, up+: 0.141, reg+: 0.859, same: 0.000, score: 0.736, median_score: 0.411
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.321, std: 0.223, tested: 15000up: 0.056, reg: 0.234, up+: 0.163, reg+: 0.827, same: 0.010, score: 0.544, median_score: 0.310
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.404, std: 0.284, tested: 7500up: 0.069, reg: 0.261, up+: 0.215, reg+: 0.785, same: 0.000, score: 0.688, median_score: 0.373
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.349, std: 0.230, tested: 10650up: 0.047, reg: 0.250, up+: 0.178, reg+: 0.808, same: 0.014, score: 0.578, median_score: 0.329
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'linear_int', 'assign_labels': 'none'}, diff: 0.466, std: 0.304, tested: 3750up: 0.059, reg: 0.271, up+: 0.259, reg+: 0.741, same: 0.000, score: 0.771, median_score: 0.452
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.270, std: 0.186, tested: 21300up: 0.057, reg: 0.238, up+: 0.119, reg+: 0.871, same: 0.010, score: 0.455, median_score: 0.278
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.381, std: 0.275, tested: 10650up: 0.070, reg: 0.292, up+: 0.154, reg+: 0.846, same: 0.000, score: 0.656, median_score: 0.347
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.314, std: 0.206, tested: 15123up: 0.048, reg: 0.271, up+: 0.122, reg+: 0.864, same: 0.014, score: 0.520, median_score: 0.299
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'root_int', 'assign_labels': 'none'}, diff: 0.457, std: 0.298, tested: 5325up: 0.060, reg: 0.310, up+: 0.193, reg+: 0.807, same: 0.000, score: 0.755, median_score: 0.431
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.426, std: 0.280, tested: 7500up: 0.068, reg: 0.149, up+: 0.314, reg+: 0.676, same: 0.010, score: 0.706, median_score: 0.399
{'n_clusters': 'linear_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.465, std: 0.309, tested: 3750up: 0.081, reg: 0.144, up+: 0.378, reg+: 0.622, same: 0.000, score: 0.774, median_score: 0.452
{'n_clusters': 'root_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.431, std: 0.272, tested: 5325up: 0.058, reg: 0.144, up+: 0.338, reg+: 0.648, same: 0.014, score: 0.703, median_score: 0.420
{'n_clusters': 'square_int', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'square_int', 'assign_labels': 'none'}, diff: 0.477, std: 0.326, tested: 1875up: 0.071, reg: 0.139, up+: 0.418, reg+: 0.582, same: 0.000, score: 0.804, median_score: 0.452
{'n_clusters': 'none', 'affinity': 'none', 'gamma': 'none', 'n_neighbors': 'none', 'assign_labels': 'none'} $0.205 \pm 0.130$ 0.335
